return_id,order_id,return_date,returned_quantity,return_reason,refund_amount,responsibility,is_resalable
RT0000039,O00000494,2026-08-01,1,描述不符,130.55,商品/运营,否
RT0000040,O00000500,2025-08-13,1,无理由退货,1092.39,商品/运营,否
RT0000041,O00000512,2025-11-16,1,质量问题,1456.07,商品/运营,否
RT0000042,O00000528,2025-11-24,2,尺寸/适配问题,3352.02,商品/运营,是
RT0000043,O00000536,2025-12-09,3,质量问题,2443.56,商品/运营,是
RT0000044,O00000542,2026-05-24,1,尺寸/适配问题,1867.11,商品/运营,否
RT0000045,O00000558,2026-01-30,1,无理由退货,2421.19,商品/运营,否
RT0000046,O00000580,2025-08-20,2,质量问题,1699.59,商品/运营,是
RT0000047,O00000584,2026-02-02,2,物流延迟,3355.81,物流,否
RT0000048,O00000588,2025-08-09,5,质量问题,7410.9,商品/运营,是
RT0000049,O00000594,2026-01-30,1,质量问题,1990.26,商品/运营,否
RT0000050,O00000596,2025-10-17,1,物流延迟,214.41,物流,是
RT0000051,O00000613,2025-09-20,1,质量问题,1775.24,商品/运营,是
RT0000052,O00000649,2025-09-15,3,物流延迟,538.02,物流,是
RT0000053,O00000699,2026-01-15,1,描述不符,237.66,商品/运营,是
RT0000054,O00000727,2026-04-15,3,物流延迟,5236.72,物流,否
RT0000055,O00000762,2026-02-01,3,商品破损,621.54,物流,是
RT0000056,O00000779,2026-03-27,1,商品破损,2095.01,物流,是
RT0000057,O00000791,2026-05-17,1,无理由退货,326.05,商品/运营,是
RT0000058,O00000793,2026-06-20,1,物流延迟,1504.87,物流,是
RT0000059,O00000801,2026-04-16,2,商品破损,1095.64,物流,否
RT0000060,O00000802,2026-02-20,3,质量问题,5176.56,商品/运营,否
RT0000061,O00000815,2026-05-08,1,物流延迟,728.77,物流,否
RT0000062,O00000828,2026-05-22,2,无理由退货,5250.11,商品/运营,否
RT0000063,O00000829,2026-05-23,2,描述不符,4367.46,商品/运营,否
RT0000064,O00000856,2025-11-24,1,质量问题,794.28,商品/运营,是
RT0000065,O00000859,2025-12-19,1,无理由退货,677.71,商品/运营,是
RT0000066,O00000860,2025-12-23,5,无理由退货,6797.18,商品/运营,否
RT0000067,O00000870,2026-08-04,1,商品破损,277.99,物流,是
RT0000068,O00000882,2026-05-29,4,无理由退货,2574.21,商品/运营,是
RT0000069,O00000889,2026-05-12,1,无理由退货,367.89,商品/运营,是
RT0000070,O00000940,2025-09-25,1,尺寸/适配问题,1932.33,商品/运营,否
RT0000071,O00000957,2026-02-21,1,无理由退货,619.06,商品/运营,否
RT0000072,O00000984,2026-02-01,4,物流延迟,2541.27,物流,是
RT0000073,O00001027,2026-07-05,2,物流延迟,292.09,物流,是
RT0000074,O00001029,2026-07-06,1,质量问题,1807.56,商品/运营,是
RT0000075,O00001037,2025-11-25,2,尺寸/适配问题,925.66,商品/运营,是
RT0000076,O00001047,2025-09-17,2,商品破损,312.32,物流,是
RT0000077,O00001057,2026-04-04,1,商品破损,1451.84,物流,是
RT0000078,O00001079,2026-04-18,3,物流延迟,2054.78,物流,是
RT0000079,O00001094,2026-05-14,1,无理由退货,484.43,商品/运营,是
RT0000080,O00001099,2026-06-26,1,物流延迟,1899.06,物流,是
RT0000081,O00001108,2025-12-02,1,物流延迟,745.14,物流,是
RT0000082,O00001116,2026-03-14,1,物流延迟,435.28,物流,否
RT0000083,O00001119,2026-06-09,3,质量问题,591.03,商品/运营,是
RT0000084,O00001153,2026-06-11,1,质量问题,991.0,商品/运营,否
RT0000085,O00001166,2026-04-18,4,尺寸/适配问题,774.4,商品/运营,是
RT0000086,O00001178,2026-06-09,1,质量问题,984.15,商品/运营,是
RT0000087,O00001181,2026-02-21,1,物流延迟,1234.25,物流,是
RT0000088,O00001183,2026-03-31,1,物流延迟,254.69,物流,否
RT0000089,O00001218,2026-01-31,1,物流延迟,849.37,物流,否
RT0000090,O00001229,2026-05-23,1,物流延迟,288.77,物流,是
RT0000091,O00001234,2025-08-10,6,尺寸/适配问题,1522.37,商品/运营,否
RT0000092,O00001237,2026-03-13,1,物流延迟,900.38,物流,是
RT0000093,O00001249,2026-05-04,3,物流延迟,2653.24,物流,是
RT0000094,O00001260,2026-07-25,1,物流延迟,891.95,物流,是
RT0000095,O00001277,2026-06-07,2,无理由退货,653.67,商品/运营,是
RT0000096,O00001306,2025-09-13,2,物流延迟,1415.86,物流,否
RT0000097,O00001307,2026-02-13,1,无理由退货,324.29,商品/运营,否
RT0000098,O00001351,2026-05-21,1,物流延迟,1098.95,物流,是
RT0000099,O00001356,2026-01-21,5,无理由退货,5875.75,商品/运营,否
RT0000100,O00001358,2026-03-27,2,物流延迟,975.24,物流,是
RT0000101,O00001359,2026-04-18,1,商品破损,621.87,物流,是
RT0000102,O00001373,2025-10-22,2,物流延迟,524.93,物流,是
RT0000103,O00001403,2026-05-29,1,物流延迟,3064.18,物流,否
RT0000104,O00001428,2026-01-02,1,无理由退货,426.62,商品/运营,是
RT0000105,O00001442,2026-01-16,4,尺寸/适配问题,8543.12,商品/运营,是
RT0000106,O00001473,2025-09-03,1,描述不符,1979.68,商品/运营,是
RT0000107,O00001475,2026-03-18,3,物流延迟,5796.81,物流,是
RT0000108,O00001476,2025-10-12,2,描述不符,1581.98,商品/运营,否
RT0000109,O00001481,2025-10-25,2,尺寸/适配问题,1795.5,商品/运营,否
RT0000110,O00001484,2026-06-16,4,质量问题,5513.64,商品/运营,是
RT0000111,O00001509,2026-03-18,3,物流延迟,1764.17,物流,是
RT0000112,O00001537,2026-04-05,1,商品破损,1475.81,物流,是
RT0000113,O00001540,2025-12-24,1,描述不符,1745.57,商品/运营,是
RT0000114,O00001554,2025-09-09,1,尺寸/适配问题,1573.1,商品/运营,是
RT0000115,O00001556,2026-07-27,5,质量问题,3688.28,商品/运营,是
RT0000116,O00001645,2025-10-23,1,无理由退货,570.97,商品/运营,否
RT0000117,O00001651,2026-01-28,3,描述不符,7359.69,商品/运营,是
RT0000118,O00001659,2026-07-14,2,质量问题,627.06,商品/运营,是
RT0000119,O00001663,2026-06-27,2,质量问题,4505.36,商品/运营,否
RT0000120,O00001681,2026-05-17,2,描述不符,2034.94,商品/运营,是
RT0000121,O00001683,2026-07-13,2,商品破损,1361.2,物流,是
RT0000122,O00001706,2026-06-24,1,物流延迟,1371.16,物流,是
RT0000123,O00001708,2025-12-16,2,商品破损,1457.28,物流,否
RT0000124,O00001710,2025-10-25,1,无理由退货,2514.83,商品/运营,是
RT0000125,O00001717,2026-03-28,2,物流延迟,2061.32,物流,是
RT0000126,O00001723,2026-01-06,1,描述不符,1816.84,商品/运营,是
RT0000127,O00001739,2026-05-22,1,无理由退货,260.14,商品/运营,是
RT0000128,O00001774,2026-05-25,1,商品破损,549.47,物流,是
RT0000129,O00001804,2025-10-27,1,描述不符,802.76,商品/运营,是
RT0000130,O00001809,2026-08-06,3,无理由退货,761.18,商品/运营,否
RT0000131,O00001819,2026-01-29,2,商品破损,236.75,物流,否
RT0000132,O00001824,2025-10-23,2,描述不符,2346.86,商品/运营,是
RT0000133,O00001842,2025-10-17,1,物流延迟,2395.93,物流,是
RT0000134,O00001848,2026-07-05,3,质量问题,377.07,商品/运营,否
RT0000135,O00001869,2025-10-27,3,质量问题,3541.94,商品/运营,是
RT0000136,O00001885,2026-02-28,3,质量问题,413.99,商品/运营,否
RT0000137,O00001890,2026-03-17,5,尺寸/适配问题,4759.91,商品/运营,是
RT0000138,O00001897,2026-04-25,1,商品破损,638.14,物流,否
RT0000139,O00001909,2025-12-09,2,质量问题,427.79,商品/运营,是
RT0000140,O00001914,2026-05-10,3,物流延迟,1883.04,物流,否
RT0000141,O00001930,2026-04-08,2,物流延迟,2983.85,物流,否
RT0000142,O00001931,2026-02-15,2,描述不符,3174.96,商品/运营,是
RT0000143,O00001940,2025-12-08,1,商品破损,736.2,物流,是
RT0000144,O00001941,2026-01-30,3,无理由退货,2140.68,商品/运营,否
RT0000145,O00001943,2025-09-03,3,尺寸/适配问题,2092.92,商品/运营,否
RT0000146,O00001949,2025-12-16,2,物流延迟,1257.86,物流,否
RT0000147,O00001970,2026-06-05,1,质量问题,461.49,商品/运营,是
RT0000148,O00001994,2026-01-06,2,物流延迟,2611.0,物流,是
RT0000149,O00002001,2026-02-06,2,质量问题,3925.17,商品/运营,是
RT0000150,O00002003,2026-05-14,1,无理由退货,639.0,商品/运营,否
RT0000151,O00002009,2026-01-19,5,描述不符,7040.36,商品/运营,是
RT0000152,O00002015,2026-06-25,1,物流延迟,1293.97,物流,是
RT0000153,O00002017,2025-09-25,3,物流延迟,4297.82,物流,否
RT0000154,O00002022,2026-02-11,1,描述不符,1313.62,商品/运营,是
RT0000155,O00002040,2026-02-11,1,物流延迟,1725.52,物流,是
RT0000156,O00002041,2025-09-28,1,物流延迟,473.89,物流,否
RT0000157,O00002064,2026-04-30,1,无理由退货,290.75,商品/运营,是
RT0000158,O00002067,2026-02-02,1,物流延迟,492.2,物流,是
RT0000159,O00002074,2025-10-05,3,尺寸/适配问题,3052.41,商品/运营,是
RT0000160,O00002076,2025-08-12,1,无理由退货,1567.62,商品/运营,是
RT0000161,O00002086,2026-07-08,2,描述不符,4516.47,商品/运营,否
RT0000162,O00002092,2025-10-20,2,无理由退货,1699.68,商品/运营,是
RT0000163,O00002099,2026-02-09,2,质量问题,3617.61,商品/运营,是
RT0000164,O00002106,2026-04-23,2,质量问题,1457.28,商品/运营,否
RT0000165,O00002114,2025-10-30,1,质量问题,494.86,商品/运营,是
RT0000166,O00002148,2026-04-07,1,无理由退货,1193.71,商品/运营,否
RT0000167,O00002151,2026-07-06,2,商品破损,972.5,物流,否
RT0000168,O00002173,2025-12-01,2,描述不符,1800.76,商品/运营,是
RT0000169,O00002184,2026-01-01,1,物流延迟,850.5,物流,是
RT0000170,O00002196,2025-12-19,3,商品破损,1555.07,物流,是
RT0000171,O00002211,2025-11-10,1,商品破损,2446.98,物流,是
RT0000172,O00002217,2025-09-18,1,无理由退货,1173.77,商品/运营,是
RT0000173,O00002219,2025-12-14,1,无理由退货,711.17,商品/运营,是
RT0000174,O00002226,2025-09-08,1,物流延迟,447.57,物流,是
RT0000175,O00002229,2026-04-27,1,物流延迟,243.55,物流,是
RT0000176,O00002239,2026-01-01,2,物流延迟,2353.15,物流,是
RT0000177,O00002262,2025-08-25,1,无理由退货,639.3,商品/运营,否
RT0000178,O00002266,2025-11-23,1,物流延迟,1301.51,物流,是
RT0000179,O00002275,2026-07-22,1,物流延迟,1600.12,物流,是
RT0000180,O00002301,2025-10-23,1,物流延迟,2804.88,物流,是
RT0000181,O00002302,2025-11-16,1,质量问题,570.88,商品/运营,是
RT0000182,O00002304,2025-10-23,3,描述不符,2600.15,商品/运营,否
RT0000183,O00002305,2026-01-03,1,物流延迟,1453.58,物流,是
RT0000184,O00002309,2025-08-14,1,物流延迟,1307.04,物流,否
RT0000185,O00002311,2026-05-21,1,描述不符,583.75,商品/运营,否
RT0000186,O00002337,2026-03-10,2,无理由退货,819.9,商品/运营,否
RT0000187,O00002359,2025-11-13,1,物流延迟,1577.56,物流,是
RT0000188,O00002364,2025-08-25,1,物流延迟,260.51,物流,是
RT0000189,O00002366,2026-08-01,2,无理由退货,1458.72,商品/运营,是
RT0000190,O00002369,2026-06-11,1,描述不符,549.4,商品/运营,否
RT0000191,O00002386,2025-09-24,1,商品破损,1950.97,物流,否
RT0000192,O00002417,2025-10-23,1,尺寸/适配问题,2590.41,商品/运营,是
RT0000193,O00002429,2026-01-18,2,物流延迟,1060.04,物流,是
RT0000194,O00002441,2026-07-02,3,无理由退货,3974.58,商品/运营,是
RT0000195,O00002443,2026-04-12,1,描述不符,756.46,商品/运营,是
RT0000196,O00002462,2025-08-13,1,质量问题,435.28,商品/运营,是
RT0000197,O00002465,2025-12-20,2,物流延迟,1133.05,物流,否
RT0000198,O00002480,2026-07-30,1,物流延迟,1213.77,物流,是
RT0000199,O00002497,2026-03-16,1,物流延迟,2135.48,物流,否
RT0000200,O00002534,2026-06-06,1,商品破损,735.07,物流,是
RT0000201,O00002548,2025-10-12,2,物流延迟,3072.22,物流,是
RT0000202,O00002554,2026-05-08,2,物流延迟,788.32,物流,否
RT0000203,O00002575,2026-02-03,2,描述不符,984.4,商品/运营,否
RT0000204,O00002590,2026-06-20,1,质量问题,1769.48,商品/运营,否
RT0000205,O00002591,2026-07-14,1,商品破损,720.17,物流,是
RT0000206,O00002617,2026-02-22,1,无理由退货,620.87,商品/运营,否
RT0000207,O00002630,2026-06-13,1,物流延迟,1567.06,物流,是
RT0000208,O00002634,2025-10-02,1,无理由退货,923.69,商品/运营,否
RT0000209,O00002638,2026-01-26,2,质量问题,627.06,商品/运营,是
RT0000210,O00002656,2026-03-18,1,尺寸/适配问题,390.02,商品/运营,是
RT0000211,O00002675,2025-12-02,1,物流延迟,942.0,物流,否
RT0000212,O00002683,2026-05-14,2,无理由退货,1585.6,商品/运营,否
RT0000213,O00002699,2026-06-10,1,描述不符,681.08,商品/运营,是
RT0000214,O00002700,2025-09-02,4,质量问题,6870.5,商品/运营,是
RT0000215,O00002706,2026-02-26,1,质量问题,1536.96,商品/运营,是
RT0000216,O00002721,2026-05-26,3,无理由退货,3198.11,商品/运营,否
RT0000217,O00002754,2025-12-22,3,无理由退货,2718.05,商品/运营,是
RT0000218,O00002763,2025-08-14,1,商品破损,184.1,物流,否
RT0000219,O00002766,2025-11-17,2,无理由退货,1229.6,商品/运营,否
RT0000220,O00002776,2026-03-12,3,物流延迟,1560.37,物流,是
RT0000221,O00002812,2025-12-15,1,无理由退货,750.56,商品/运营,是
RT0000222,O00002814,2026-04-25,1,质量问题,1116.58,商品/运营,否
RT0000223,O00002825,2025-12-17,3,质量问题,2078.3,商品/运营,否
RT0000224,O00002849,2025-08-25,1,商品破损,978.77,物流,是
RT0000225,O00002866,2026-01-30,2,物流延迟,2026.32,物流,否
RT0000226,O00002867,2025-08-20,1,物流延迟,530.02,物流,是
RT0000227,O00002868,2025-11-11,2,无理由退货,1537.0,商品/运营,否
RT0000228,O00002892,2026-06-29,4,质量问题,8737.56,商品/运营,是
RT0000229,O00002894,2026-05-18,2,物流延迟,620.42,物流,是
RT0000230,O00002897,2026-03-08,2,物流延迟,1201.86,物流,是
RT0000231,O00002901,2026-02-02,1,描述不符,914.87,商品/运营,是
RT0000232,O00002910,2026-04-17,1,质量问题,404.16,商品/运营,是
RT0000233,O00002926,2026-04-13,1,商品破损,301.3,物流,否
RT0000234,O00002933,2026-07-08,1,物流延迟,349.54,物流,是
RT0000235,O00002939,2026-06-05,1,无理由退货,628.93,商品/运营,否
RT0000236,O00002956,2026-03-11,4,描述不符,1141.78,商品/运营,否
RT0000237,O00002964,2026-08-01,2,物流延迟,1085.81,物流,是
RT0000238,O00002972,2025-08-26,1,尺寸/适配问题,722.15,商品/运营,否
RT0000239,O00002974,2026-02-26,1,物流延迟,615.29,物流,是
RT0000240,O00003007,2025-09-14,2,无理由退货,1560.43,商品/运营,是
RT0000241,O00003024,2026-01-24,1,物流延迟,708.75,物流,是
RT0000242,O00003025,2025-12-19,1,物流延迟,2327.43,物流,是
RT0000243,O00003033,2025-11-11,1,质量问题,391.75,商品/运营,是
RT0000244,O00003039,2026-02-18,1,物流延迟,138.0,物流,否
RT0000245,O00003041,2025-11-05,3,物流延迟,4201.66,物流,是
RT0000246,O00003042,2026-01-18,3,质量问题,3107.21,商品/运营,否
RT0000247,O00003057,2026-03-25,1,无理由退货,1084.81,商品/运营,是
RT0000248,O00003099,2025-12-19,1,物流延迟,225.69,物流,否
RT0000249,O00003114,2025-12-27,1,质量问题,997.42,商品/运营,是
RT0000250,O00003117,2026-02-10,1,质量问题,817.3,商品/运营,是
RT0000251,O00003169,2026-06-20,1,无理由退货,1700.37,商品/运营,是
RT0000252,O00003180,2026-04-29,1,尺寸/适配问题,2262.79,商品/运营,否
RT0000253,O00003183,2026-05-21,2,质量问题,1699.18,商品/运营,是
RT0000254,O00003189,2025-08-16,1,商品破损,235.75,物流,否
RT0000255,O00003200,2025-11-21,2,质量问题,581.02,商品/运营,否
RT0000256,O00003201,2025-10-18,5,描述不符,2237.84,商品/运营,是
RT0000257,O00003221,2026-06-22,2,尺寸/适配问题,523.88,商品/运营,否
RT0000258,O00003223,2026-07-07,1,无理由退货,457.37,商品/运营,否
RT0000259,O00003225,2026-01-10,2,无理由退货,4278.76,商品/运营,否
RT0000260,O00003235,2026-06-30,1,物流延迟,1709.73,物流,否
RT0000261,O00003241,2026-04-26,2,物流延迟,1243.44,物流,是
RT0000262,O00003245,2025-12-28,3,质量问题,6802.79,商品/运营,是
RT0000263,O00003251,2025-09-27,2,描述不符,826.62,商品/运营,是
RT0000264,O00003260,2026-06-02,1,物流延迟,529.44,物流,否
RT0000265,O00003285,2025-09-11,2,商品破损,1716.14,物流,是
RT0000266,O00003286,2026-01-02,3,物流延迟,1058.64,物流,是
RT0000267,O00003289,2025-09-29,5,无理由退货,2106.82,商品/运营,是
RT0000268,O00003298,2026-01-18,1,描述不符,1736.48,商品/运营,否
RT0000269,O00003324,2026-04-20,2,物流延迟,1067.06,物流,是
RT0000270,O00003338,2026-07-12,1,无理由退货,831.32,商品/运营,是
RT0000271,O00003346,2026-01-24,3,物流延迟,2004.86,物流,否
RT0000272,O00003353,2026-07-26,1,描述不符,756.46,商品/运营,否
RT0000273,O00003369,2026-01-27,1,质量问题,596.81,商品/运营,否
RT0000274,O00003373,2026-06-21,1,商品破损,627.68,物流,是
RT0000275,O00003390,2026-06-15,3,商品破损,7768.86,物流,是
RT0000276,O00003409,2026-04-09,1,描述不符,1279.57,商品/运营,否
RT0000277,O00003410,2026-05-03,3,质量问题,2082.87,商品/运营,是
RT0000278,O00003416,2026-02-10,1,描述不符,2548.23,商品/运营,否
RT0000279,O00003446,2026-02-21,2,无理由退货,2497.68,商品/运营,是
RT0000280,O00003455,2025-10-30,1,商品破损,2604.55,物流,否
RT0000281,O00003476,2026-05-19,1,无理由退货,2083.13,商品/运营,是
RT0000282,O00003485,2025-11-11,4,质量问题,1177.27,商品/运营,是
RT0000283,O00003497,2026-06-01,1,无理由退货,549.47,商品/运营,是
RT0000284,O00003506,2025-09-05,3,尺寸/适配问题,4028.86,商品/运营,否
RT0000285,O00003520,2026-07-12,2,质量问题,2260.76,商品/运营,是
RT0000286,O00003521,2025-09-18,2,质量问题,1400.74,商品/运营,否
RT0000287,O00003528,2026-02-24,1,质量问题,1626.47,商品/运营,是
RT0000288,O00003539,2025-08-15,1,商品破损,769.76,物流,是
RT0000289,O00003545,2026-05-22,2,质量问题,4534.69,商品/运营,是
RT0000290,O00003551,2026-07-29,1,描述不符,1237.46,商品/运营,否
RT0000291,O00003576,2026-05-03,1,描述不符,302.16,商品/运营,否
RT0000292,O00003587,2025-11-08,1,物流延迟,749.57,物流,是
RT0000293,O00003626,2025-12-15,1,商品破损,1136.17,物流,是
RT0000294,O00003638,2026-07-02,3,质量问题,2378.4,商品/运营,是
RT0000295,O00003652,2025-11-12,1,描述不符,2565.82,商品/运营,否
RT0000296,O00003673,2025-11-09,1,物流延迟,2566.0,物流,是
RT0000297,O00003674,2026-08-03,1,无理由退货,1431.97,商品/运营,是
RT0000298,O00003675,2026-07-13,1,质量问题,1308.69,商品/运营,否
RT0000299,O00003681,2026-06-08,2,无理由退货,4045.9,商品/运营,否
RT0000300,O00003684,2026-05-25,1,尺寸/适配问题,308.78,商品/运营,是
RT0000301,O00003697,2025-12-06,2,无理由退货,4746.18,商品/运营,是
RT0000302,O00003701,2026-04-27,2,商品破损,4958.44,物流,是
RT0000303,O00003704,2026-05-31,1,无理由退货,1906.41,商品/运营,否
RT0000304,O00003707,2026-01-12,1,物流延迟,2315.17,物流,否
RT0000305,O00003708,2025-08-13,3,描述不符,882.95,商品/运营,否
RT0000306,O00003724,2025-08-17,1,无理由退货,2147.03,商品/运营,是
RT0000307,O00003727,2026-03-19,2,商品破损,1630.02,物流,是
RT0000308,O00003728,2025-10-07,1,描述不符,369.99,商品/运营,是
RT0000309,O00003730,2025-11-06,1,质量问题,1142.09,商品/运营,否
RT0000310,O00003749,2025-12-15,1,商品破损,196.57,物流,是
RT0000311,O00003774,2026-04-21,1,商品破损,262.57,物流,是
RT0000312,O00003784,2025-08-20,2,无理由退货,1460.86,商品/运营,是
RT0000313,O00003806,2026-06-03,2,质量问题,962.85,商品/运营,是
RT0000314,O00003813,2026-01-16,1,物流延迟,553.4,物流,是
RT0000315,O00003815,2026-06-18,1,尺寸/适配问题,1559.71,商品/运营,是
RT0000316,O00003824,2025-12-30,1,物流延迟,1668.8,物流,是
RT0000317,O00003825,2025-12-09,1,无理由退货,788.73,商品/运营,是
RT0000318,O00003829,2026-06-23,1,物流延迟,646.42,物流,是
RT0000319,O00003841,2026-01-11,1,物流延迟,923.12,物流,否
RT0000320,O00003857,2026-02-16,2,描述不符,1000.44,商品/运营,是
RT0000321,O00003863,2025-12-26,1,尺寸/适配问题,1355.39,商品/运营,是
RT0000322,O00003886,2025-10-20,2,质量问题,1702.88,商品/运营,是
RT0000323,O00003896,2025-08-15,2,描述不符,3270.28,商品/运营,是
RT0000324,O00003903,2026-02-12,2,无理由退货,654.04,商品/运营,是
RT0000325,O00003913,2026-04-09,2,无理由退货,2376.11,商品/运营,是
RT0000326,O00003922,2025-11-24,5,质量问题,1208.64,商品/运营,否
RT0000327,O00003924,2025-08-28,1,尺寸/适配问题,285.44,商品/运营,是
RT0000328,O00003926,2026-05-09,2,商品破损,1660.46,物流,否
RT0000329,O00003929,2025-12-26,3,物流延迟,1975.53,物流,是
RT0000330,O00003948,2026-05-05,3,商品破损,505.62,物流,是
RT0000331,O00003953,2025-11-09,1,物流延迟,835.46,物流,否
RT0000332,O00003992,2025-12-16,1,无理由退货,598.12,商品/运营,是
RT0000333,O00003999,2025-12-22,2,物流延迟,3132.14,物流,否
RT0000334,O00004001,2025-12-24,1,无理由退货,499.86,商品/运营,是
RT0000335,O00004005,2025-12-29,3,无理由退货,5778.25,商品/运营,是
RT0000336,O00004032,2025-11-25,4,物流延迟,2891.91,物流,是
RT0000337,O00004033,2025-08-22,1,尺寸/适配问题,766.23,商品/运营,是
RT0000338,O00004039,2025-12-29,3,物流延迟,5325.72,物流,是
RT0000339,O00004042,2026-01-05,3,尺寸/适配问题,4641.82,商品/运营,是
RT0000340,O00004053,2025-10-30,1,描述不符,1015.46,商品/运营,是
RT0000341,O00004077,2026-08-04,1,物流延迟,557.83,物流,否
RT0000342,O00004097,2025-08-14,1,物流延迟,2475.71,物流,是
RT0000343,O00004112,2026-04-23,3,商品破损,3046.38,物流,是
RT0000344,O00004117,2025-10-09,1,质量问题,1089.29,商品/运营,是
RT0000345,O00004127,2026-01-16,2,物流延迟,1141.77,物流,是
RT0000346,O00004138,2026-05-20,1,物流延迟,1099.43,物流,否
RT0000347,O00004159,2025-09-29,2,物流延迟,3614.38,物流,否
RT0000348,O00004162,2026-07-06,2,无理由退货,286.94,商品/运营,是
RT0000349,O00004167,2025-12-18,1,描述不符,460.87,商品/运营,是
RT0000350,O00004178,2025-12-12,2,无理由退货,266.35,商品/运营,否
RT0000351,O00004180,2026-04-04,1,商品破损,2810.69,物流,是
RT0000352,O00004199,2026-04-23,2,商品破损,3299.49,物流,否
RT0000353,O00004202,2026-05-28,2,尺寸/适配问题,3223.37,商品/运营,是
RT0000354,O00004203,2025-10-26,3,质量问题,973.95,商品/运营,否
RT0000355,O00004212,2025-09-19,4,尺寸/适配问题,6334.04,商品/运营,是
RT0000356,O00004229,2025-10-26,1,物流延迟,400.92,物流,否
RT0000357,O00004230,2025-11-28,1,质量问题,1738.17,商品/运营,是
RT0000358,O00004239,2026-01-23,1,尺寸/适配问题,2519.55,商品/运营,是
RT0000359,O00004272,2026-01-16,2,尺寸/适配问题,1248.93,商品/运营,是
RT0000360,O00004273,2026-02-11,1,描述不符,283.16,商品/运营,是
RT0000361,O00004275,2025-12-15,1,商品破损,1147.31,物流,是
RT0000362,O00004284,2026-01-17,1,物流延迟,2315.31,物流,否
RT0000363,O00004286,2025-11-18,1,无理由退货,2033.2,商品/运营,否
RT0000364,O00004292,2026-05-21,2,尺寸/适配问题,848.03,商品/运营,是
RT0000365,O00004315,2026-04-14,1,质量问题,549.66,商品/运营,否
RT0000366,O00004326,2025-12-28,1,描述不符,726.4,商品/运营,是
RT0000367,O00004331,2026-02-24,1,商品破损,696.24,物流,否
RT0000368,O00004349,2026-04-11,6,无理由退货,3109.36,商品/运营,是
RT0000369,O00004358,2025-11-26,2,尺寸/适配问题,463.17,商品/运营,是
RT0000370,O00004360,2025-11-21,2,物流延迟,2082.22,物流,是
RT0000371,O00004364,2026-07-28,1,质量问题,565.35,商品/运营,是
RT0000372,O00004381,2026-08-06,1,无理由退货,694.12,商品/运营,是
