campaign_id,month,region,channel,campaign_theme,spend,impressions,clicks,leads,attributed_orders,target_roi
MKT00145,2025-12,西南,企业采购,节日大促,212933.52,2654058,159193,39822,13119,2.5
MKT00146,2025-12,东北,直播,清仓转化,111771.09,967751,60769,15486,6449,4.0
MKT00147,2025-12,东北,电商,新品首发,179831.73,2025894,55648,11843,2333,3.5
MKT00148,2025-12,东北,门店,新品首发,76169.82,832899,39922,6157,1417,4.0
MKT00149,2025-12,东北,经销商,内容种草,195323.49,2096921,71579,18526,3468,2.5
MKT00150,2025-12,东北,企业采购,内容种草,162278.97,2140420,71743,10712,4009,3.5
MKT00151,2026-01,华东,直播,清仓转化,94455.69,1114762,70451,10781,3328,2.5
MKT00152,2026-01,华东,电商,清仓转化,83487.69,792903,36088,4924,1010,3.0
MKT00153,2026-01,华东,门店,新品首发,86969.37,1142924,38036,8242,2499,2.5
MKT00154,2026-01,华东,经销商,内容种草,70126.14,635447,29749,8021,2324,2.5
MKT00155,2026-01,华东,企业采购,节日大促,125123.36,1587267,47339,10113,2448,2.5
MKT00156,2026-01,华北,直播,清仓转化,71796.12,702947,23096,6124,1887,2.5
MKT00157,2026-01,华北,电商,节日大促,151121.16,1734051,81806,12409,2417,4.0
MKT00158,2026-01,华北,门店,会员增长,115023.68,1323144,63103,15783,3079,3.5
MKT00159,2026-01,华北,经销商,新品首发,179544.61,1592423,86566,20640,5543,3.0
MKT00160,2026-01,华北,企业采购,节日大促,76978.28,934955,43539,7121,1291,3.0
MKT00161,2026-01,华南,直播,会员增长,156161.95,1714985,59369,9393,3035,3.0
MKT00162,2026-01,华南,电商,会员增长,86332.06,1061028,60078,16000,4889,3.0
MKT00163,2026-01,华南,门店,节日大促,160438.63,1690303,81845,21868,6384,3.0
MKT00164,2026-01,华南,经销商,会员增长,80422.13,877413,40851,5010,1366,3.0
MKT00165,2026-01,华南,企业采购,会员增长,179390.33,1726802,60808,8906,1873,3.5
MKT00166,2026-01,华中,直播,内容种草,144121.9,1433954,36239,4898,1159,4.0
MKT00167,2026-01,华中,电商,清仓转化,157715.7,1600893,64963,16037,2959,4.0
MKT00168,2026-01,华中,门店,节日大促,126978.19,1539511,74629,16837,5822,3.0
MKT00169,2026-01,华中,经销商,节日大促,93766.94,1098811,63054,16002,5051,3.0
MKT00170,2026-01,华中,企业采购,会员增长,218106.52,1863122,97281,19254,5926,4.0
MKT00171,2026-01,西南,直播,会员增长,112609.36,1450664,50892,10775,4499,2.5
MKT00172,2026-01,西南,电商,新品首发,203985.76,2719623,117862,28011,11259,4.0
MKT00173,2026-01,西南,门店,新品首发,75130.54,688013,31276,6942,2763,3.0
MKT00174,2026-01,西南,经销商,新品首发,171253.67,2066453,79678,19980,3835,3.0
MKT00175,2026-01,西南,企业采购,新品首发,179435.74,2231654,56023,12316,2294,4.0
MKT00176,2026-01,东北,直播,清仓转化,218327.85,2682897,150059,37330,7436,4.0
MKT00177,2026-01,东北,电商,会员增长,89572.2,820891,49693,10709,3244,3.5
MKT00178,2026-01,东北,门店,节日大促,94837.24,814013,27933,6326,1679,3.5
MKT00179,2026-01,东北,经销商,清仓转化,144377.11,1372254,35144,8363,2567,2.5
MKT00180,2026-01,东北,企业采购,会员增长,82832.96,837050,34122,8339,2671,4.0
MKT00181,2026-02,华东,直播,内容种草,180983.73,2200037,105538,20548,5091,3.0
MKT00182,2026-02,华东,电商,内容种草,140082.07,1471955,46783,12112,5059,3.0
MKT00183,2026-02,华东,门店,新品首发,198457.44,2339207,140374,30791,12595,3.0
MKT00184,2026-02,华东,经销商,节日大促,102755.59,1057713,53643,13910,5616,4.0
MKT00185,2026-02,华东,企业采购,会员增长,65712.5,815348,46544,6512,2287,2.5
MKT00186,2026-02,华北,直播,内容种草,77299.49,662147,33582,5875,1439,3.5
MKT00187,2026-02,华北,电商,节日大促,204793.37,2180694,132191,32825,11800,3.5
MKT00188,2026-02,华北,门店,新品首发,201526.56,1719237,67299,17448,4333,3.0
MKT00189,2026-02,华北,经销商,清仓转化,119083.17,1570862,60016,8210,2141,3.0
MKT00190,2026-02,华北,企业采购,清仓转化,141680.5,1226527,36905,5116,1032,4.0
MKT00191,2026-02,华南,直播,节日大促,218291.69,2564004,75542,18243,7592,4.0
MKT00192,2026-02,华南,电商,清仓转化,112744.96,982109,42116,8674,2747,2.5
MKT00193,2026-02,华南,门店,清仓转化,114213.67,1112416,52223,10126,4107,3.5
MKT00194,2026-02,华南,经销商,节日大促,125476.24,1109427,39036,10127,2976,2.5
MKT00195,2026-02,华南,企业采购,节日大促,217495.59,2689229,150106,37795,11501,3.0
MKT00196,2026-02,华中,直播,新品首发,214707.83,2258352,144602,19678,7111,4.0
MKT00197,2026-02,华中,电商,内容种草,105378.64,1098188,50672,6766,1911,4.0
MKT00198,2026-02,华中,门店,清仓转化,87465.88,897572,38550,9740,3810,3.5
MKT00199,2026-02,华中,经销商,新品首发,122343.55,1226068,65228,15377,5059,3.5
MKT00200,2026-02,华中,企业采购,新品首发,178765.54,1553059,65191,12968,2364,3.5
MKT00201,2026-02,西南,直播,清仓转化,207330.38,2217476,124773,16483,6069,3.5
MKT00202,2026-02,西南,电商,内容种草,168015.05,1704812,53481,12863,3929,4.0
MKT00203,2026-02,西南,门店,会员增长,219171.48,2172442,94804,25191,9778,3.5
MKT00204,2026-02,西南,经销商,节日大促,118960.15,1068430,62565,12559,2581,3.0
MKT00205,2026-02,西南,企业采购,节日大促,134608.94,1310957,75629,14526,5723,2.5
MKT00206,2026-02,东北,直播,新品首发,105015.96,1191296,67899,18163,7539,4.0
MKT00207,2026-02,东北,电商,会员增长,81348.91,706722,39113,6276,1965,3.5
MKT00208,2026-02,东北,门店,会员增长,92276.28,805821,20407,5575,2028,3.0
MKT00209,2026-02,东北,经销商,会员增长,167115.27,1711397,79636,20993,7102,4.0
MKT00210,2026-02,东北,企业采购,会员增长,157747.09,1897066,80572,16533,5594,2.5
MKT00211,2026-03,华东,直播,会员增长,206655.58,2780805,125428,32416,6124,3.0
MKT00212,2026-03,华东,电商,清仓转化,182897.59,2052218,133161,33051,9549,3.0
MKT00213,2026-03,华东,门店,会员增长,199133.54,2104966,124620,28716,8666,3.0
MKT00214,2026-03,华东,经销商,清仓转化,182373.23,2041746,88395,14605,3284,4.0
MKT00215,2026-03,华东,企业采购,内容种草,185804.93,1661668,61274,12009,2873,3.0
MKT00216,2026-03,华北,直播,节日大促,148758.49,1590915,64526,14578,5352,4.0
MKT00217,2026-03,华北,电商,会员增长,135641.74,1788309,52303,10672,2818,3.5
MKT00218,2026-03,华北,门店,会员增长,121345.01,1388268,71796,15340,6203,3.0
MKT00219,2026-03,华北,经销商,会员增长,216332.18,2387685,130091,16757,3060,2.5
MKT00220,2026-03,华北,企业采购,节日大促,153230.14,1694217,66321,15676,4653,2.5
MKT00221,2026-03,华南,直播,会员增长,119526.25,1314159,50154,9551,1856,3.0
MKT00222,2026-03,华南,电商,节日大促,180271.92,2200574,77151,12716,3514,4.0
MKT00223,2026-03,华南,门店,内容种草,80250.57,773853,32732,5669,1731,3.0
MKT00224,2026-03,华南,经销商,清仓转化,97412.02,884756,40202,10500,4210,3.5
MKT00225,2026-03,华南,企业采购,新品首发,191109.97,1799533,60314,8365,2323,2.5
MKT00226,2026-03,华中,直播,内容种草,193578.58,1728714,56743,15266,4866,2.5
MKT00227,2026-03,华中,电商,清仓转化,219526.9,2532292,99300,27374,8053,3.0
MKT00228,2026-03,华中,门店,会员增长,74394.74,698762,40128,5149,2077,3.5
MKT00229,2026-03,华中,经销商,内容种草,209275.96,1832139,79374,15541,4302,3.5
MKT00230,2026-03,华中,企业采购,会员增长,213638.22,2371878,71371,19136,6325,3.5
MKT00231,2026-03,西南,直播,清仓转化,199377.69,2041763,58571,14220,2668,4.0
MKT00232,2026-03,西南,电商,节日大促,83672.43,1039542,54908,10606,3818,3.0
MKT00233,2026-03,西南,门店,节日大促,116654.23,1412691,91622,12618,3097,3.0
MKT00234,2026-03,西南,经销商,新品首发,72153.01,772212,41497,6138,2459,4.0
MKT00235,2026-03,西南,企业采购,节日大促,165919.69,1678393,94386,16794,6401,3.5
MKT00236,2026-03,东北,直播,会员增长,164682.74,2172474,110773,15681,3770,3.5
MKT00237,2026-03,东北,电商,节日大促,85375.14,845954,40926,8684,1928,4.0
MKT00238,2026-03,东北,门店,内容种草,66740.92,636532,26867,7390,2118,3.5
MKT00239,2026-03,东北,经销商,会员增长,153841.2,2017957,94124,24173,7745,3.0
MKT00240,2026-03,东北,企业采购,清仓转化,70404.76,733998,35668,6808,2077,3.5
MKT00241,2026-04,华东,直播,新品首发,195696.7,2010348,96083,20850,5124,2.5
MKT00242,2026-04,华东,电商,清仓转化,77690.25,684349,34064,8903,1917,4.0
MKT00243,2026-04,华东,门店,会员增长,112070.14,1233305,43402,8208,1534,3.0
MKT00244,2026-04,华东,经销商,清仓转化,160322.12,1950111,52278,14017,4296,3.0
MKT00245,2026-04,华东,企业采购,新品首发,133039.97,1141149,53265,8877,2935,3.5
MKT00246,2026-04,华北,直播,新品首发,145879.71,1900837,113076,25216,8454,3.5
MKT00247,2026-04,华北,电商,节日大促,90503.55,1079100,57644,15112,3023,4.0
MKT00248,2026-04,华北,门店,内容种草,99854.2,1015096,27083,7085,2327,3.0
MKT00249,2026-04,华北,经销商,内容种草,97562.3,1265091,72246,19999,5154,3.0
MKT00250,2026-04,华北,企业采购,内容种草,75018.03,742806,26576,6985,2436,3.5
MKT00251,2026-04,华南,直播,清仓转化,179214.58,2244035,56472,10607,2155,4.0
MKT00252,2026-04,华南,电商,节日大促,154359.05,1480265,68220,18819,5501,3.5
MKT00253,2026-04,华南,门店,节日大促,154901.62,1990553,80505,9759,3455,2.5
MKT00254,2026-04,华南,经销商,内容种草,98380.08,1039812,27792,6087,2479,2.5
MKT00255,2026-04,华南,企业采购,内容种草,142489.73,1282441,42420,5677,2351,2.5
MKT00256,2026-04,华中,直播,内容种草,203799.1,1797585,86019,22737,5590,3.5
MKT00257,2026-04,华中,电商,新品首发,169383.95,1517429,43841,10489,3361,2.5
MKT00258,2026-04,华中,门店,节日大促,193527.09,1755150,82148,22683,5495,3.5
MKT00259,2026-04,华中,经销商,新品首发,174601.95,1904623,97523,21766,7436,3.0
MKT00260,2026-04,华中,企业采购,新品首发,197984.43,2070839,133797,18561,5230,4.0
MKT00261,2026-04,西南,直播,会员增长,195516.93,2479513,62490,12871,3434,3.5
MKT00262,2026-04,西南,电商,节日大促,90258.7,865238,23828,4792,1161,3.5
MKT00263,2026-04,西南,门店,会员增长,86756.04,1016776,48302,12572,4449,2.5
MKT00264,2026-04,西南,经销商,新品首发,188427.57,1656090,47527,8561,1855,3.5
MKT00265,2026-04,西南,企业采购,新品首发,81883.78,725819,20911,3326,1310,3.0
MKT00266,2026-04,东北,直播,清仓转化,218523.2,1914747,114077,26349,10528,3.0
MKT00267,2026-04,东北,电商,节日大促,150620.83,1434525,54587,8454,3161,4.0
MKT00268,2026-04,东北,门店,会员增长,84874.94,831345,24796,5668,1686,3.5
MKT00269,2026-04,东北,经销商,会员增长,70211.65,697905,17905,2727,503,2.5
MKT00270,2026-04,东北,企业采购,内容种草,127245.31,1164715,53788,6980,2135,3.5
MKT00271,2026-05,华东,直播,新品首发,72299.2,684916,17574,4795,1142,2.5
MKT00272,2026-05,华东,电商,清仓转化,210247.02,2728775,167390,41988,15125,2.5
MKT00273,2026-05,华东,门店,节日大促,81017.95,833648,49530,8092,2965,2.5
MKT00274,2026-05,华东,经销商,清仓转化,185496.96,2218785,55661,11523,4722,4.0
MKT00275,2026-05,华东,企业采购,会员增长,150184.55,1585650,71239,13151,3184,2.5
MKT00276,2026-05,华北,直播,新品首发,82235.91,830846,25578,4682,1270,3.0
MKT00277,2026-05,华北,电商,新品首发,108631.02,1363833,40645,7693,1839,3.0
MKT00278,2026-05,华北,门店,清仓转化,141665.1,1600612,83622,22205,5299,3.5
MKT00279,2026-05,华北,经销商,内容种草,117968.04,1316469,42746,9536,2572,2.5
MKT00280,2026-05,华北,企业采购,内容种草,87142.45,1012702,42004,10199,2897,3.0
MKT00281,2026-05,华南,直播,清仓转化,153180.22,1773416,89292,10815,4529,2.5
MKT00282,2026-05,华南,电商,节日大促,160906.52,2056818,114988,21682,4196,3.5
MKT00283,2026-05,华南,门店,清仓转化,79332.06,816974,36884,6572,1276,3.0
MKT00284,2026-05,华南,经销商,节日大促,86880.7,1020779,43930,6189,1459,3.0
MKT00285,2026-05,华南,企业采购,清仓转化,140215.67,1746223,46670,8638,2519,4.0
MKT00286,2026-05,华中,直播,清仓转化,160102.77,2098663,77665,18105,4970,3.5
MKT00287,2026-05,华中,电商,节日大促,188800.4,2525972,147380,27873,5346,4.0
MKT00288,2026-05,华中,门店,节日大促,119719.14,1600342,78872,19103,4623,3.5
MKT00289,2026-05,华中,经销商,内容种草,110613.91,1075188,61394,8915,2175,3.0
MKT00290,2026-05,华中,企业采购,节日大促,96727.05,841021,49154,10493,2927,3.0
MKT00291,2026-05,西南,直播,新品首发,81869.72,924581,34024,6866,1442,4.0
MKT00292,2026-05,西南,电商,清仓转化,117690.91,1059571,64958,15655,6419,3.5
MKT00293,2026-05,西南,门店,清仓转化,208595.54,2785974,155399,33347,11097,3.5
MKT00294,2026-05,西南,经销商,内容种草,84758.54,834647,31427,8076,2427,4.0
MKT00295,2026-05,西南,企业采购,清仓转化,110672.28,1284563,67012,14863,3127,3.0
MKT00296,2026-05,东北,直播,内容种草,104616.81,1076469,46846,8687,2751,3.5
MKT00297,2026-05,东北,电商,会员增长,142347.73,1627324,80516,10455,2903,2.5
MKT00298,2026-05,东北,门店,会员增长,80068.42,968788,44092,5437,2184,2.5
MKT00299,2026-05,东北,经销商,节日大促,110434.85,1099024,62187,9180,2722,2.5
MKT00300,2026-05,东北,企业采购,会员增长,149920.11,1950777,120198,21417,8117,3.5
MKT00301,2026-06,华东,直播,节日大促,220048.81,2559240,104895,14007,1682,2.5
MKT00302,2026-06,华东,电商,内容种草,194088.08,2577298,107944,23552,7294,2.5
MKT00303,2026-06,华东,门店,内容种草,197963.01,2634415,128697,15628,6486,3.5
MKT00304,2026-06,华东,经销商,新品首发,207080.24,1965511,82402,17089,3719,2.5
MKT00305,2026-06,华东,企业采购,新品首发,116768.35,1509694,67165,15460,5511,3.5
MKT00306,2026-06,华北,直播,清仓转化,155079.09,1767582,67618,12872,3768,2.5
MKT00307,2026-06,华北,电商,清仓转化,133339.29,1741077,73614,12278,4673,2.5
MKT00308,2026-06,华北,门店,内容种草,138708.74,1572143,94170,19918,7252,3.0
MKT00309,2026-06,华北,经销商,新品首发,71990.92,746042,22953,6350,1596,3.5
MKT00310,2026-06,华北,企业采购,内容种草,169623.01,2194256,141494,28746,7168,4.0
MKT00311,2026-06,华南,直播,会员增长,129470.15,1323064,36882,8395,2369,3.0
