ticket_id,customer_id,order_id,created_date,ticket_category,contact_channel,priority,resolution_hours,first_contact_resolved,satisfaction_score
TK0000028,C002638,O00000376,2025-08-08,促销规则,在线客服,紧急,31.28,否,3
TK0000029,C003974,O00000377,2026-04-12,促销规则,门店,紧急,14.07,否,4
TK0000030,C002452,O00000391,2026-01-08,安装使用,电话,中,10.38,否,4
TK0000031,C002601,O00000394,2026-06-28,退换货,电话,低,22.91,否,4
TK0000032,C000797,O00000395,2026-03-15,安装使用,社交媒体,低,34.31,否,2
TK0000033,C003054,O00000402,2026-05-17,促销规则,电话,中,27.47,否,3
TK0000034,C004624,O00000403,2026-02-08,物流咨询,门店,中,2.9,是,3
TK0000035,C001863,O00000405,2026-03-11,物流咨询,电话,中,23.77,否,3
TK0000036,C001159,O00000407,2026-05-15,商品质量,门店,中,7.05,是,4
TK0000037,C004772,O00000413,2026-07-18,商品质量,在线客服,高,28.81,否,3
TK0000038,C000219,O00000416,2025-09-09,物流咨询,在线客服,低,15.01,否,4
TK0000039,C000264,O00000452,2025-10-19,安装使用,电话,低,14.44,否,4
TK0000040,C000532,O00000455,2025-08-20,促销规则,社交媒体,中,14.57,否,4
TK0000041,C002861,O00000465,2026-05-06,商品质量,门店,中,13.09,否,5
TK0000042,C004839,O00000471,2026-04-18,物流咨询,电话,低,4.0,是,5
TK0000043,C002330,O00000496,2026-01-20,物流咨询,在线客服,高,11.72,否,4
TK0000044,C002833,O00000502,2026-05-04,促销规则,电话,中,25.96,否,3
TK0000045,C001845,O00000509,2026-07-31,物流咨询,社交媒体,中,16.03,否,4
TK0000046,C002807,O00000526,2026-01-13,物流咨询,社交媒体,中,4.41,是,3
TK0000047,C002006,O00000546,2025-09-08,物流咨询,电话,高,8.94,否,5
TK0000048,C001405,O00000553,2025-11-20,物流咨询,电话,低,22.06,否,4
TK0000049,C002303,O00000578,2025-11-09,安装使用,电话,低,35.34,否,3
TK0000050,C004936,O00000603,2025-09-29,促销规则,社交媒体,高,2.86,是,5
TK0000051,C002901,O00000607,2026-07-08,物流咨询,门店,高,28.29,否,4
TK0000052,C002984,O00000616,2025-12-21,物流咨询,门店,中,16.14,否,3
TK0000053,C002983,O00000647,2026-06-11,物流咨询,电话,中,1.15,是,5
TK0000054,C004087,O00000659,2025-12-29,物流咨询,在线客服,中,31.46,否,3
TK0000055,C001172,O00000664,2025-09-20,商品质量,在线客服,高,9.13,否,4
TK0000056,C003552,O00000665,2026-06-26,促销规则,在线客服,低,14.37,否,4
TK0000057,C003822,O00000671,2026-05-07,促销规则,电话,低,22.15,否,4
TK0000058,C003604,O00000692,2025-11-24,物流咨询,门店,低,35.56,否,3
TK0000059,C001134,O00000701,2026-04-24,物流咨询,社交媒体,高,29.08,否,4
TK0000060,C004987,O00000706,2025-11-13,商品质量,社交媒体,低,31.98,否,3
TK0000061,C004597,O00000719,2025-12-31,商品质量,电话,中,32.67,否,2
TK0000062,C002505,O00000721,2025-08-19,物流咨询,在线客服,中,21.51,否,2
TK0000063,C000006,O00000728,2025-12-17,退换货,电话,中,33.83,否,3
TK0000064,C003819,O00000732,2026-06-25,物流咨询,电话,中,34.14,否,2
TK0000065,C001993,O00000740,2026-01-18,物流咨询,社交媒体,中,3.22,是,4
TK0000066,C004163,O00000750,2025-09-23,促销规则,在线客服,紧急,8.79,否,4
TK0000067,C000789,O00000759,2026-06-19,物流咨询,电话,低,22.96,否,3
TK0000068,C004290,O00000760,2026-04-02,安装使用,在线客服,低,19.58,否,4
TK0000069,C003565,O00000764,2026-06-09,物流咨询,在线客服,高,7.94,是,4
TK0000070,C004448,O00000775,2025-12-16,安装使用,社交媒体,中,18.95,否,5
TK0000071,C002619,O00000779,2026-03-30,促销规则,在线客服,中,25.27,否,3
TK0000072,C001735,O00000784,2026-02-01,安装使用,电话,高,16.74,否,4
TK0000073,C001847,O00000785,2026-07-15,促销规则,在线客服,中,16.95,否,3
TK0000074,C001308,O00000787,2025-11-20,物流咨询,电话,中,5.57,是,4
TK0000075,C004637,O00000807,2026-07-12,物流咨询,在线客服,中,5.52,是,5
TK0000076,C004465,O00000816,2026-02-07,商品质量,在线客服,高,2.06,是,5
TK0000077,C002492,O00000821,2026-07-30,物流咨询,电话,高,15.16,否,3
TK0000078,C004992,O00000828,2026-05-19,物流咨询,电话,低,5.88,是,4
TK0000079,C002245,O00000843,2026-01-26,安装使用,在线客服,紧急,30.87,否,3
TK0000080,C000721,O00000845,2025-09-04,安装使用,社交媒体,低,2.11,是,3
TK0000081,C000660,O00000851,2026-01-12,物流咨询,在线客服,中,24.17,否,3
TK0000082,C003679,O00000864,2026-04-06,物流咨询,社交媒体,低,22.18,否,4
TK0000083,C004302,O00000873,2025-11-09,促销规则,社交媒体,高,10.01,否,5
TK0000084,C002726,O00000878,2025-12-02,商品质量,电话,高,23.81,否,3
TK0000085,C004630,O00000881,2026-07-25,安装使用,门店,中,17.95,否,4
TK0000086,C001593,O00000891,2026-07-20,促销规则,在线客服,中,10.99,否,5
TK0000087,C001492,O00000900,2026-03-05,商品质量,门店,高,2.55,是,4
TK0000088,C003340,O00000901,2026-07-06,商品质量,社交媒体,低,19.63,否,4
TK0000089,C000531,O00000908,2026-06-08,促销规则,门店,中,9.48,否,4
TK0000090,C001912,O00000914,2026-03-15,安装使用,电话,中,12.63,否,4
TK0000091,C000952,O00000926,2025-09-20,促销规则,电话,低,35.97,否,3
TK0000092,C000041,O00000930,2025-12-30,退换货,电话,中,12.6,否,4
TK0000093,C003095,O00000941,2025-10-15,促销规则,电话,中,35.8,否,3
TK0000094,C003384,O00000943,2026-01-01,物流咨询,门店,中,9.42,否,4
TK0000095,C003908,O00000956,2026-05-17,商品质量,电话,中,4.65,是,5
TK0000096,C004263,O00000962,2026-02-05,退换货,在线客服,高,3.94,是,5
TK0000097,C000302,O00000973,2026-01-16,发票支付,门店,高,26.89,否,3
TK0000098,C000130,O00001018,2025-08-16,退换货,电话,中,24.03,否,4
TK0000099,C003201,O00001025,2026-06-05,商品质量,门店,中,31.66,否,4
TK0000100,C002809,O00001029,2026-07-01,促销规则,社交媒体,中,33.6,否,4
TK0000101,C002798,O00001030,2025-08-26,物流咨询,电话,低,15.59,否,4
TK0000102,C002303,O00001036,2026-07-06,物流咨询,社交媒体,高,35.5,否,3
TK0000103,C004669,O00001037,2025-11-23,物流咨询,门店,低,35.86,否,3
TK0000104,C004747,O00001066,2026-04-14,物流咨询,门店,紧急,12.04,否,3
TK0000105,C000168,O00001084,2026-03-15,物流咨询,门店,中,34.39,否,1
TK0000106,C000931,O00001094,2026-05-11,促销规则,社交媒体,中,12.82,否,5
TK0000107,C000682,O00001113,2026-04-09,促销规则,在线客服,中,5.94,是,5
TK0000108,C001172,O00001115,2025-09-10,物流咨询,社交媒体,高,4.46,是,4
TK0000109,C002595,O00001143,2025-09-21,物流咨询,在线客服,高,32.59,否,3
TK0000110,C002392,O00001158,2026-07-20,物流咨询,门店,中,3.95,是,4
TK0000111,C004660,O00001183,2026-04-04,退换货,电话,中,34.52,否,3
TK0000112,C000573,O00001190,2025-12-08,商品质量,电话,中,12.45,否,4
TK0000113,C004824,O00001191,2025-12-25,安装使用,在线客服,低,19.01,否,4
TK0000114,C001591,O00001204,2026-01-07,商品质量,电话,中,25.6,否,3
TK0000115,C004696,O00001205,2026-07-25,退换货,电话,中,19.05,否,4
TK0000116,C004889,O00001224,2026-03-20,物流咨询,社交媒体,中,4.29,是,4
TK0000117,C004827,O00001240,2026-03-25,商品质量,门店,低,27.95,否,3
TK0000118,C001105,O00001247,2026-06-02,退换货,门店,高,2.14,是,4
TK0000119,C001927,O00001248,2026-02-11,安装使用,社交媒体,中,32.09,否,3
TK0000120,C004570,O00001269,2025-11-01,物流咨询,社交媒体,中,1.63,是,5
TK0000121,C000826,O00001279,2026-03-28,促销规则,社交媒体,低,18.01,否,3
TK0000122,C003758,O00001288,2026-04-01,促销规则,电话,中,11.59,否,5
TK0000123,C000893,O00001292,2026-01-03,物流咨询,社交媒体,低,7.7,是,4
TK0000124,C000062,O00001337,2026-07-09,物流咨询,在线客服,紧急,13.19,否,5
TK0000125,C001121,O00001347,2025-12-13,退换货,社交媒体,低,28.43,否,3
TK0000126,C003208,O00001356,2026-01-20,退换货,门店,高,5.19,是,5
TK0000127,C002342,O00001359,2026-04-13,物流咨询,社交媒体,中,33.47,否,4
TK0000128,C004083,O00001403,2026-05-18,退换货,门店,低,32.08,否,4
TK0000129,C000728,O00001411,2025-08-02,物流咨询,在线客服,中,15.37,否,4
TK0000130,C003339,O00001422,2026-02-08,退换货,社交媒体,低,34.92,否,3
TK0000131,C002167,O00001428,2025-12-31,发票支付,电话,中,6.21,是,5
TK0000132,C000729,O00001431,2026-02-16,物流咨询,门店,中,17.97,否,4
TK0000133,C004398,O00001438,2025-10-07,退换货,电话,中,18.73,否,4
TK0000134,C003510,O00001459,2025-12-11,物流咨询,门店,高,16.0,否,4
TK0000135,C000286,O00001462,2025-12-01,安装使用,在线客服,低,12.68,否,4
TK0000136,C000247,O00001465,2026-03-26,物流咨询,门店,中,34.25,否,3
TK0000137,C000341,O00001469,2026-05-10,物流咨询,社交媒体,高,15.58,否,3
TK0000138,C004902,O00001475,2026-03-14,商品质量,在线客服,中,16.43,否,4
TK0000139,C001235,O00001476,2025-10-09,物流咨询,社交媒体,高,35.16,否,3
TK0000140,C004380,O00001498,2025-08-14,商品质量,社交媒体,中,11.72,否,4
TK0000141,C000138,O00001502,2026-02-04,安装使用,门店,高,21.28,否,3
TK0000142,C004658,O00001507,2026-04-17,促销规则,电话,中,23.56,否,4
TK0000143,C003175,O00001533,2026-05-05,发票支付,社交媒体,低,29.9,否,3
TK0000144,C004535,O00001540,2025-12-23,促销规则,在线客服,紧急,29.24,否,3
TK0000145,C002804,O00001541,2026-04-26,物流咨询,社交媒体,中,13.83,否,4
TK0000146,C003659,O00001555,2025-10-13,安装使用,电话,中,30.49,否,3
TK0000147,C004460,O00001565,2025-09-11,发票支付,在线客服,中,30.74,否,3
TK0000148,C004555,O00001570,2025-09-25,促销规则,社交媒体,中,16.96,否,5
TK0000149,C001112,O00001574,2026-06-23,商品质量,在线客服,低,5.26,是,5
TK0000150,C001515,O00001590,2026-03-16,商品质量,电话,低,34.31,否,3
TK0000151,C000117,O00001592,2026-02-01,退换货,门店,紧急,4.89,是,5
TK0000152,C003914,O00001598,2026-06-25,商品质量,门店,高,19.13,否,3
TK0000153,C003934,O00001636,2025-11-10,物流咨询,门店,中,26.73,否,3
TK0000154,C000415,O00001654,2025-12-24,商品质量,电话,低,6.85,是,4
TK0000155,C003313,O00001677,2026-01-23,安装使用,电话,中,29.96,否,4
TK0000156,C004486,O00001684,2026-05-04,物流咨询,在线客服,高,19.16,否,4
TK0000157,C003789,O00001686,2025-11-17,物流咨询,门店,高,22.11,否,4
TK0000158,C003097,O00001693,2026-01-18,物流咨询,在线客服,中,4.98,是,4
TK0000159,C004784,O00001708,2025-12-07,退换货,电话,紧急,17.23,否,4
TK0000160,C003432,O00001714,2025-12-11,安装使用,社交媒体,低,16.96,否,4
TK0000161,C000744,O00001720,2026-03-09,退换货,电话,低,22.07,否,3
TK0000162,C004750,O00001723,2025-12-31,退换货,电话,低,16.57,否,3
TK0000163,C000445,O00001737,2025-10-08,物流咨询,社交媒体,低,35.56,否,3
TK0000164,C003528,O00001755,2026-04-02,物流咨询,在线客服,中,20.87,否,4
TK0000165,C002428,O00001758,2025-10-20,安装使用,在线客服,低,25.3,否,4
TK0000166,C004966,O00001762,2025-08-09,退换货,社交媒体,中,24.47,否,3
TK0000167,C004804,O00001770,2026-06-04,商品质量,社交媒体,中,7.74,是,5
TK0000168,C000124,O00001785,2026-03-16,安装使用,电话,紧急,28.51,否,3
TK0000169,C002001,O00001805,2026-03-15,物流咨询,社交媒体,中,5.05,是,4
TK0000170,C002136,O00001823,2026-03-04,物流咨询,在线客服,高,30.94,否,4
TK0000171,C004492,O00001838,2026-07-11,促销规则,社交媒体,低,18.93,否,3
TK0000172,C002018,O00001843,2026-05-08,商品质量,在线客服,中,30.2,否,3
TK0000173,C004022,O00001846,2026-03-20,退换货,社交媒体,高,14.55,否,4
TK0000174,C001732,O00001863,2026-02-21,退换货,在线客服,紧急,10.13,否,5
TK0000175,C001265,O00001873,2026-03-21,退换货,在线客服,中,5.68,是,5
TK0000176,C004618,O00001881,2025-09-21,促销规则,社交媒体,高,14.35,否,5
TK0000177,C003047,O00001882,2026-04-15,物流咨询,门店,高,23.46,否,4
TK0000178,C001472,O00001894,2026-03-25,安装使用,电话,中,7.76,是,5
TK0000179,C002585,O00001895,2025-08-11,商品质量,社交媒体,低,1.44,是,5
TK0000180,C001353,O00001908,2026-05-10,促销规则,在线客服,中,18.7,否,3
TK0000181,C002633,O00001909,2025-12-07,安装使用,社交媒体,高,8.3,否,4
TK0000182,C004453,O00001919,2026-04-22,物流咨询,电话,中,15.27,否,4
TK0000183,C001883,O00001963,2026-07-09,商品质量,电话,低,29.02,否,3
TK0000184,C000819,O00001975,2025-12-17,商品质量,电话,中,8.41,否,5
TK0000185,C001375,O00001986,2025-10-17,安装使用,门店,低,17.85,否,4
TK0000186,C002740,O00002010,2026-04-15,商品质量,在线客服,中,5.23,是,4
TK0000187,C004307,O00002028,2025-08-18,退换货,电话,高,34.32,否,3
TK0000188,C000228,O00002045,2026-04-10,促销规则,在线客服,中,35.1,否,3
TK0000189,C002602,O00002050,2026-03-07,商品质量,电话,高,6.28,是,4
TK0000190,C001543,O00002054,2026-04-30,发票支付,社交媒体,低,3.78,是,5
TK0000191,C000909,O00002059,2026-05-04,发票支付,电话,高,8.58,否,5
TK0000192,C000456,O00002074,2025-09-30,物流咨询,门店,中,2.11,是,4
TK0000193,C004574,O00002075,2026-07-28,促销规则,门店,中,20.04,否,3
TK0000194,C000365,O00002079,2026-05-30,物流咨询,在线客服,高,16.75,否,4
TK0000195,C001099,O00002094,2026-01-24,退换货,门店,低,3.13,是,5
TK0000196,C000191,O00002102,2026-05-24,物流咨询,社交媒体,中,34.26,否,3
TK0000197,C003999,O00002111,2025-11-24,促销规则,社交媒体,中,5.55,是,5
TK0000198,C003180,O00002113,2025-10-11,物流咨询,电话,中,35.0,否,3
TK0000199,C001459,O00002114,2025-10-20,退换货,门店,紧急,32.41,否,3
TK0000200,C003810,O00002123,2026-05-08,商品质量,门店,低,32.51,否,4
TK0000201,C001906,O00002139,2025-12-02,物流咨询,社交媒体,低,18.27,否,3
TK0000202,C000451,O00002156,2025-09-16,发票支付,门店,紧急,9.85,否,4
TK0000203,C002980,O00002168,2026-05-23,物流咨询,电话,中,6.32,是,4
TK0000204,C004774,O00002169,2025-08-26,安装使用,社交媒体,中,22.29,否,4
TK0000205,C004057,O00002173,2025-11-21,退换货,电话,中,20.5,否,3
TK0000206,C003235,O00002184,2025-12-23,物流咨询,电话,中,35.08,否,2
TK0000207,C003127,O00002198,2026-02-14,促销规则,电话,低,17.32,否,4
TK0000208,C001861,O00002213,2026-03-19,商品质量,电话,低,28.68,否,3
TK0000209,C002176,O00002217,2025-09-06,商品质量,在线客服,紧急,19.98,否,3
TK0000210,C002844,O00002221,2026-03-04,商品质量,社交媒体,中,11.36,否,5
TK0000211,C000623,O00002222,2026-05-14,发票支付,在线客服,高,3.73,是,5
TK0000212,C004116,O00002229,2026-04-17,发票支付,社交媒体,低,5.76,是,5
TK0000213,C002145,O00002261,2026-03-07,促销规则,在线客服,低,33.48,否,3
TK0000214,C000787,O00002280,2025-12-30,发票支付,电话,高,30.83,否,3
TK0000215,C001227,O00002302,2025-11-11,商品质量,电话,低,32.86,否,3
TK0000216,C002177,O00002303,2025-11-07,退换货,在线客服,中,7.74,是,5
TK0000217,C003854,O00002308,2026-03-06,物流咨询,在线客服,低,31.9,否,2
TK0000218,C003075,O00002314,2025-12-23,物流咨询,电话,低,9.46,否,4
TK0000219,C000252,O00002315,2026-06-07,物流咨询,在线客服,低,21.96,否,4
TK0000220,C003316,O00002328,2025-11-05,商品质量,门店,中,3.6,是,5
TK0000221,C003714,O00002348,2025-10-19,物流咨询,在线客服,低,27.64,否,4
TK0000222,C000106,O00002358,2025-12-18,商品质量,门店,中,15.68,否,4
TK0000223,C001645,O00002362,2025-08-26,促销规则,门店,低,35.71,否,3
TK0000224,C002641,O00002366,2026-08-03,商品质量,社交媒体,低,3.31,是,5
TK0000225,C004657,O00002372,2026-02-01,商品质量,在线客服,中,28.76,否,4
TK0000226,C000003,O00002380,2026-01-03,安装使用,社交媒体,中,7.12,是,4
TK0000227,C003037,O00002386,2025-09-19,促销规则,电话,中,16.45,否,4
TK0000228,C004249,O00002396,2026-01-27,退换货,在线客服,中,30.42,否,3
TK0000229,C003280,O00002400,2025-10-01,安装使用,社交媒体,低,24.95,否,4
TK0000230,C000239,O00002476,2025-11-10,物流咨询,电话,中,31.23,否,3
TK0000231,C004255,O00002480,2026-07-26,退换货,门店,中,30.81,否,3
TK0000232,C004747,O00002485,2026-07-15,物流咨询,电话,低,2.98,是,4
TK0000233,C001246,O00002489,2026-06-27,发票支付,社交媒体,中,23.74,否,4
TK0000234,C002065,O00002491,2025-12-08,安装使用,社交媒体,中,22.92,否,4
TK0000235,C004658,O00002494,2026-06-06,促销规则,在线客服,中,18.93,否,3
TK0000236,C000404,O00002498,2026-07-30,促销规则,社交媒体,中,18.44,否,4
TK0000237,C002744,O00002506,2026-05-15,退换货,门店,中,9.25,否,4
TK0000238,C004484,O00002520,2026-04-21,物流咨询,门店,中,23.37,否,3
TK0000239,C004978,O00002532,2026-05-16,安装使用,社交媒体,中,26.32,否,3
TK0000240,C004433,O00002536,2026-07-24,商品质量,电话,高,23.66,否,4
TK0000241,C004002,O00002549,2025-12-12,物流咨询,社交媒体,中,17.01,否,4
TK0000242,C000916,O00002560,2026-02-02,物流咨询,在线客服,紧急,2.29,是,5
TK0000243,C003862,O00002564,2025-10-01,发票支付,社交媒体,中,35.18,否,3
TK0000244,C004529,O00002569,2025-10-05,物流咨询,社交媒体,中,3.55,是,5
TK0000245,C004181,O00002578,2026-05-14,物流咨询,门店,低,33.9,否,3
TK0000246,C001963,O00002582,2026-05-28,退换货,门店,高,34.97,否,4
TK0000247,C004963,O00002584,2026-06-26,物流咨询,社交媒体,低,32.15,否,4
TK0000248,C003668,O00002599,2026-01-05,发票支付,在线客服,中,30.72,否,3
TK0000249,C004129,O00002625,2025-10-07,物流咨询,社交媒体,中,10.03,否,4
TK0000250,C001319,O00002636,2025-12-27,安装使用,社交媒体,低,5.38,是,5
TK0000251,C002551,O00002642,2026-02-05,商品质量,门店,中,12.7,否,4
TK0000252,C004114,O00002651,2026-04-29,商品质量,电话,低,11.71,否,4
TK0000253,C000347,O00002665,2026-08-07,发票支付,在线客服,中,33.1,否,4
TK0000254,C003048,O00002667,2026-07-20,商品质量,门店,低,24.93,否,3
TK0000255,C000416,O00002683,2026-05-11,退换货,电话,中,13.19,否,4
TK0000256,C001480,O00002687,2026-05-27,商品质量,在线客服,中,35.97,否,3
TK0000257,C000397,O00002694,2026-04-22,发票支付,门店,中,16.83,否,4
TK0000258,C000450,O00002702,2025-09-16,促销规则,门店,低,19.77,否,3
TK0000259,C000620,O00002706,2026-02-17,促销规则,社交媒体,低,18.08,否,4
TK0000260,C001339,O00002708,2026-05-07,物流咨询,社交媒体,中,19.98,否,4
TK0000261,C001637,O00002715,2025-12-27,物流咨询,社交媒体,低,33.58,否,3
TK0000262,C004204,O00002724,2026-04-13,物流咨询,社交媒体,中,11.41,否,3
TK0000263,C004097,O00002732,2026-03-27,退换货,门店,低,33.74,否,2
TK0000264,C004716,O00002735,2026-05-06,物流咨询,电话,紧急,26.3,否,3
TK0000265,C002526,O00002736,2025-11-20,物流咨询,社交媒体,紧急,19.76,否,3
TK0000266,C000093,O00002757,2025-09-19,物流咨询,门店,中,30.9,否,4
TK0000267,C001639,O00002759,2026-02-14,安装使用,门店,中,17.16,否,4
TK0000268,C002976,O00002766,2025-11-16,发票支付,社交媒体,低,24.42,否,3
TK0000269,C004750,O00002767,2025-10-10,发票支付,在线客服,中,22.31,否,3
TK0000270,C003433,O00002768,2026-02-25,物流咨询,社交媒体,低,34.57,否,3
TK0000271,C002025,O00002771,2025-11-13,物流咨询,门店,高,30.39,否,3
TK0000272,C001991,O00002777,2025-09-08,商品质量,在线客服,中,16.96,否,4
TK0000273,C000745,O00002793,2025-08-09,促销规则,社交媒体,中,10.82,否,5
TK0000274,C002865,O00002809,2026-02-22,商品质量,电话,高,34.23,否,2
TK0000275,C002797,O00002811,2026-02-06,退换货,电话,高,6.41,是,4
TK0000276,C003942,O00002837,2025-12-17,商品质量,电话,中,35.49,否,2
TK0000277,C001340,O00002847,2026-05-13,安装使用,在线客服,低,4.75,是,4
TK0000278,C003643,O00002881,2026-06-28,商品质量,在线客服,高,7.46,是,5
TK0000279,C001881,O00002892,2026-06-30,退换货,在线客服,中,5.18,是,4
TK0000280,C004575,O00002894,2026-05-09,促销规则,门店,高,9.01,否,4
TK0000281,C001957,O00002897,2026-03-06,退换货,门店,低,23.63,否,3
TK0000282,C002133,O00002909,2025-11-12,物流咨询,门店,高,4.86,是,5
TK0000283,C000377,O00002916,2026-02-12,物流咨询,社交媒体,中,4.48,是,3
TK0000284,C002888,O00002954,2026-01-29,物流咨询,在线客服,高,15.75,否,4
TK0000285,C002001,O00002958,2025-12-24,安装使用,门店,高,28.75,否,3
TK0000286,C002983,O00002959,2026-05-16,发票支付,社交媒体,高,33.47,否,3
TK0000287,C001780,O00002964,2026-07-20,退换货,电话,中,19.99,否,4
TK0000288,C000226,O00002988,2026-01-08,退换货,在线客服,紧急,32.25,否,3
TK0000289,C000134,O00002995,2025-12-17,物流咨询,社交媒体,紧急,18.35,否,3
TK0000290,C003207,O00003006,2025-11-20,物流咨询,门店,紧急,21.23,否,4
TK0000291,C004626,O00003025,2025-12-19,商品质量,在线客服,低,20.06,否,3
TK0000292,C003949,O00003027,2026-07-21,促销规则,电话,中,16.92,否,4
TK0000293,C004712,O00003029,2026-04-24,促销规则,在线客服,中,1.96,是,5
TK0000294,C001274,O00003031,2026-01-28,促销规则,电话,低,29.08,否,3
TK0000295,C004633,O00003039,2026-02-13,退换货,社交媒体,高,28.88,否,3
TK0000296,C003193,O00003076,2026-06-30,发票支付,电话,中,30.37,否,3
TK0000297,C002048,O00003080,2026-06-30,商品质量,门店,低,22.09,否,5
TK0000298,C004904,O00003087,2026-05-07,退换货,在线客服,中,34.8,否,3
TK0000299,C001796,O00003088,2025-12-25,退换货,在线客服,中,30.29,否,3
TK0000300,C001181,O00003117,2026-02-08,安装使用,门店,高,30.07,否,4
TK0000301,C000499,O00003120,2025-10-05,物流咨询,电话,低,10.73,否,5
TK0000302,C000684,O00003127,2025-12-03,物流咨询,电话,低,25.42,否,2
TK0000303,C004692,O00003129,2025-09-27,退换货,电话,低,27.51,否,4
TK0000304,C004582,O00003140,2026-06-24,商品质量,社交媒体,中,33.74,否,3
TK0000305,C003419,O00003142,2026-06-01,退换货,在线客服,高,7.47,是,4
TK0000306,C001995,O00003167,2026-04-17,安装使用,在线客服,低,32.67,否,2
TK0000307,C000379,O00003189,2025-08-14,商品质量,在线客服,低,2.64,是,5
TK0000308,C003204,O00003195,2026-06-28,物流咨询,在线客服,中,35.61,否,2
TK0000309,C001564,O00003200,2025-11-16,退换货,在线客服,中,26.55,否,3
TK0000310,C002713,O00003205,2026-02-26,安装使用,在线客服,紧急,24.13,否,4
TK0000311,C000448,O00003223,2026-07-02,退换货,社交媒体,中,27.63,否,3
TK0000312,C004322,O00003235,2026-06-25,商品质量,门店,低,9.4,否,4
TK0000313,C001061,O00003236,2025-09-02,物流咨询,社交媒体,中,22.94,否,4
TK0000314,C004953,O00003241,2026-04-16,安装使用,社交媒体,中,10.72,否,4
TK0000315,C002738,O00003252,2025-10-18,退换货,电话,中,8.69,否,5
TK0000316,C001980,O00003286,2025-12-25,物流咨询,社交媒体,低,12.6,否,4
TK0000317,C004718,O00003290,2026-01-31,物流咨询,社交媒体,低,8.07,否,4
TK0000318,C002675,O00003292,2026-04-15,物流咨询,在线客服,低,32.87,否,3
TK0000319,C004580,O00003341,2025-10-29,安装使用,在线客服,中,20.87,否,3
TK0000320,C001621,O00003348,2026-05-31,安装使用,门店,中,19.76,否,3
TK0000321,C004607,O00003359,2026-06-25,促销规则,在线客服,高,2.15,是,4
TK0000322,C003857,O00003367,2025-12-23,商品质量,门店,中,8.83,否,4
TK0000323,C000385,O00003369,2026-01-13,安装使用,电话,低,28.97,否,2
TK0000324,C000372,O00003376,2025-10-01,物流咨询,社交媒体,低,31.07,否,3
TK0000325,C004437,O00003379,2026-02-23,安装使用,在线客服,高,27.36,否,3
TK0000326,C000665,O00003381,2026-02-14,发票支付,门店,低,10.4,否,4
TK0000327,C000166,O00003405,2025-10-28,商品质量,电话,高,20.37,否,3
TK0000328,C002381,O00003441,2026-06-06,物流咨询,社交媒体,高,1.83,是,5
TK0000329,C000748,O00003442,2026-01-26,安装使用,社交媒体,中,5.99,是,5
TK0000330,C001040,O00003445,2025-10-04,退换货,社交媒体,中,28.26,否,3
TK0000331,C001914,O00003447,2025-12-26,发票支付,在线客服,中,10.11,否,5
TK0000332,C000455,O00003450,2025-12-22,退换货,在线客服,中,35.42,否,3
TK0000333,C002675,O00003454,2025-08-15,物流咨询,在线客服,中,9.06,否,4
