shipment_id,order_id,warehouse_id,carrier,ship_date,promised_days,actual_delivery_days,delay_days,shipping_cost,delivery_status
SH00000053,O00000053,W06,迅联,2025-11-05,2,2,0,28.09,按时
SH00000054,O00000054,W01,顺达,2025-09-13,2,7,5,24.6,延迟
SH00000055,O00000055,W02,云仓配,2026-03-01,2,5,3,28.92,延迟
SH00000056,O00000056,W03,京速,2025-09-12,2,1,0,17.75,按时
SH00000057,O00000057,W01,迅联,2025-12-11,2,2,0,27.56,按时
SH00000058,O00000058,W04,顺达,2026-06-19,2,6,4,19.55,延迟
SH00000059,O00000059,W05,顺达,2026-04-29,2,6,4,22.35,延迟
SH00000060,O00000060,W03,城际专线,2026-02-15,4,4,0,42.08,按时
SH00000061,O00000061,W03,顺达,2026-03-28,2,6,4,28.05,延迟
SH00000062,O00000062,W01,迅联,2025-11-07,4,3,0,19.44,按时
SH00000063,O00000063,W04,迅联,2026-07-01,2,6,4,25.85,延迟
SH00000064,O00000064,W04,顺达,2025-12-13,3,4,1,18.41,延迟
SH00000065,O00000065,W03,云仓配,2026-07-25,4,1,0,22.13,按时
SH00000066,O00000066,W04,迅联,2025-11-15,2,2,0,41.89,按时
SH00000067,O00000067,W03,顺达,2025-09-09,4,6,2,29.91,延迟
SH00000068,O00000068,W05,顺达,2026-05-07,4,6,2,36.87,延迟
SH00000069,O00000069,W01,顺达,2025-08-19,2,3,1,15.83,延迟
SH00000070,O00000070,W06,京速,2025-09-18,4,4,0,24.56,按时
SH00000071,O00000071,W04,迅联,2025-11-10,3,6,3,42.52,延迟
SH00000072,O00000072,W03,顺达,2025-10-27,4,6,2,20.22,延迟
SH00000073,O00000073,W02,京速,2026-05-24,3,3,0,18.82,按时
SH00000074,O00000074,W03,京速,2025-09-02,2,3,1,24.16,延迟
SH00000075,O00000075,W02,京速,2025-11-07,4,5,1,15.83,延迟
SH00000076,O00000076,W03,顺达,2026-01-12,2,3,1,24.64,延迟
SH00000077,O00000077,W05,京速,2026-03-13,3,3,0,15.33,按时
SH00000078,O00000078,W01,云仓配,2026-07-14,4,3,0,11.09,按时
SH00000079,O00000079,W04,迅联,2026-03-18,2,3,1,19.13,延迟
SH00000080,O00000080,W03,迅联,2026-03-23,2,3,1,22.5,延迟
SH00000081,O00000081,W02,京速,2026-04-24,2,3,1,21.04,延迟
SH00000082,O00000082,W03,城际专线,2025-11-04,4,3,0,37.99,按时
SH00000083,O00000083,W04,顺达,2025-08-02,4,2,0,10.61,按时
SH00000084,O00000084,W01,京速,2026-03-23,4,4,0,20.95,按时
SH00000085,O00000085,W01,迅联,2026-05-27,4,3,0,25.04,按时
SH00000086,O00000086,W03,云仓配,2026-01-19,3,6,3,10.43,延迟
SH00000087,O00000087,W05,云仓配,2025-10-06,3,2,0,18.96,按时
SH00000088,O00000088,W03,云仓配,2026-04-15,3,3,0,24.06,按时
SH00000089,O00000089,W02,京速,2026-06-16,2,3,1,21.32,延迟
SH00000090,O00000090,W04,城际专线,2026-07-29,4,4,0,24.24,按时
SH00000091,O00000091,W04,迅联,2026-01-17,4,2,0,24.45,按时
SH00000092,O00000092,W02,京速,2025-12-15,2,4,2,14.98,延迟
SH00000093,O00000093,W01,云仓配,2025-10-03,2,2,0,14.11,按时
SH00000094,O00000094,W03,迅联,2025-09-07,4,2,0,21.53,按时
SH00000095,O00000095,W04,京速,2025-09-15,4,2,0,21.89,按时
SH00000096,O00000096,W04,迅联,2026-01-23,4,3,0,32.86,按时
SH00000097,O00000097,W02,云仓配,2025-08-03,3,2,0,30.65,按时
SH00000098,O00000098,W06,顺达,2025-11-30,4,5,1,32.08,延迟
SH00000099,O00000099,W02,云仓配,2026-03-27,2,4,2,21.63,延迟
SH00000100,O00000100,W05,城际专线,2026-06-13,3,3,0,18.94,按时
SH00000101,O00000101,W01,顺达,2025-11-17,4,2,0,16.31,按时
SH00000102,O00000102,W01,京速,2026-01-17,4,7,3,35.13,延迟
SH00000103,O00000103,W03,迅联,2026-02-02,3,5,2,16.1,延迟
SH00000104,O00000104,W01,迅联,2026-01-09,2,2,0,19.21,按时
SH00000105,O00000105,W03,云仓配,2026-04-15,3,3,0,23.79,按时
SH00000106,O00000106,W04,城际专线,2026-04-24,4,2,0,24.1,按时
SH00000107,O00000107,W04,云仓配,2026-06-12,2,1,0,23.49,按时
SH00000108,O00000108,W05,顺达,2025-09-06,2,3,1,26.16,延迟
SH00000109,O00000109,W01,京速,2025-08-24,2,4,2,22.47,延迟
SH00000110,O00000110,W05,迅联,2025-08-15,3,2,0,25.49,按时
SH00000111,O00000111,W05,云仓配,2026-06-17,2,2,0,20.66,按时
SH00000112,O00000112,W02,京速,2026-04-18,2,6,4,28.09,延迟
SH00000113,O00000113,W06,顺达,2025-12-09,4,6,2,30.02,延迟
SH00000114,O00000114,W02,迅联,2026-03-24,4,4,0,18.02,按时
SH00000115,O00000115,W03,京速,2026-06-22,3,3,0,23.74,按时
SH00000116,O00000116,W03,迅联,2026-02-22,4,2,0,23.17,按时
SH00000117,O00000117,W06,京速,2026-01-23,3,4,1,31.47,延迟
SH00000118,O00000118,W02,京速,2026-03-22,2,1,0,26.89,按时
SH00000119,O00000119,W02,顺达,2025-12-12,2,4,2,17.18,延迟
SH00000120,O00000120,W02,顺达,2025-08-10,4,5,1,33.64,延迟
SH00000121,O00000121,W01,城际专线,2026-02-14,3,5,2,26.92,延迟
SH00000122,O00000122,W04,京速,2025-08-20,4,4,0,17.54,按时
SH00000123,O00000123,W01,迅联,2025-11-03,2,5,3,27.48,延迟
SH00000124,O00000124,W03,云仓配,2026-03-07,2,7,5,30.15,延迟
SH00000125,O00000125,W03,京速,2025-12-27,3,5,2,24.95,延迟
SH00000126,O00000126,W04,顺达,2025-09-17,4,2,0,30.33,按时
SH00000127,O00000127,W03,迅联,2026-04-11,3,6,3,33.82,延迟
SH00000128,O00000128,W01,顺达,2026-05-20,2,6,4,21.22,延迟
SH00000129,O00000129,W03,顺达,2025-10-28,3,3,0,25.72,按时
SH00000130,O00000130,W03,云仓配,2025-12-21,3,3,0,40.95,按时
SH00000131,O00000131,W04,云仓配,2026-06-07,2,3,1,19.88,延迟
SH00000132,O00000132,W01,迅联,2026-05-20,2,1,0,22.99,按时
SH00000133,O00000133,W04,迅联,2026-07-07,2,6,4,20.65,延迟
SH00000134,O00000134,W01,云仓配,2025-11-03,4,4,0,26.27,按时
SH00000135,O00000135,W06,京速,2026-01-13,2,4,2,27.1,延迟
SH00000136,O00000136,W01,城际专线,2026-01-24,4,5,1,16.68,延迟
SH00000137,O00000137,W01,云仓配,2026-04-03,2,3,1,29.57,延迟
SH00000138,O00000138,W05,云仓配,2025-11-25,3,3,0,22.04,按时
SH00000139,O00000139,W06,云仓配,2026-04-15,3,3,0,13.05,按时
SH00000140,O00000140,W01,京速,2026-03-31,2,3,1,15.31,延迟
SH00000141,O00000141,W02,顺达,2025-09-21,3,4,1,19.58,延迟
SH00000142,O00000142,W02,城际专线,2026-04-18,4,3,0,22.39,按时
SH00000143,O00000143,W04,顺达,2025-08-05,4,1,0,15.03,按时
SH00000144,O00000144,W04,京速,2026-01-19,3,3,0,25.18,按时
SH00000145,O00000145,W01,城际专线,2025-09-21,2,2,0,15.76,按时
SH00000146,O00000146,W05,云仓配,2026-06-22,4,7,3,17.94,延迟
SH00000147,O00000147,W01,顺达,2025-11-06,2,3,1,31.46,延迟
SH00000148,O00000148,W01,顺达,2026-01-07,3,2,0,33.42,按时
SH00000149,O00000149,W02,云仓配,2026-05-28,3,2,0,22.38,按时
SH00000150,O00000150,W06,迅联,2025-12-22,4,1,0,30.2,按时
SH00000151,O00000151,W01,云仓配,2025-09-05,2,5,3,25.48,延迟
SH00000152,O00000152,W02,顺达,2026-04-12,2,4,2,12.68,延迟
SH00000153,O00000153,W05,迅联,2025-12-03,3,6,3,34.14,延迟
SH00000154,O00000154,W01,云仓配,2026-03-08,2,5,3,18.98,延迟
SH00000155,O00000155,W05,云仓配,2025-10-23,3,3,0,25.53,按时
SH00000156,O00000156,W01,顺达,2026-04-06,2,4,2,28.12,延迟
SH00000157,O00000157,W03,顺达,2026-06-27,2,1,0,29.65,按时
SH00000158,O00000158,W02,京速,2026-04-12,2,3,1,16.89,延迟
SH00000159,O00000159,W04,顺达,2025-08-21,4,4,0,28.57,按时
SH00000160,O00000160,W04,京速,2025-10-13,4,7,3,30.63,延迟
SH00000161,O00000161,W02,城际专线,2025-12-26,2,2,0,21.79,按时
SH00000162,O00000162,W03,京速,2025-10-03,4,2,0,19.59,按时
SH00000163,O00000163,W05,京速,2025-12-23,3,3,0,20.99,按时
SH00000164,O00000164,W05,迅联,2026-01-08,4,3,0,29.39,按时
SH00000165,O00000165,W02,城际专线,2025-12-30,3,4,1,30.93,延迟
SH00000166,O00000166,W04,云仓配,2025-12-04,2,3,1,29.14,延迟
SH00000167,O00000167,W03,顺达,2026-07-19,2,2,0,29.0,按时
SH00000168,O00000168,W06,迅联,2026-07-08,3,2,0,23.07,按时
SH00000169,O00000169,W05,顺达,2026-06-19,2,4,2,31.05,延迟
SH00000170,O00000170,W04,京速,2026-07-15,2,4,2,30.51,延迟
SH00000171,O00000171,W05,城际专线,2026-07-02,4,4,0,30.07,按时
SH00000172,O00000172,W02,京速,2025-11-14,2,6,4,24.28,延迟
SH00000173,O00000173,W03,顺达,2026-07-02,2,5,3,28.68,延迟
SH00000174,O00000174,W02,城际专线,2026-04-27,4,5,1,24.18,延迟
SH00000175,O00000175,W01,顺达,2025-11-20,3,3,0,15.17,按时
SH00000176,O00000176,W02,城际专线,2026-04-10,3,2,0,20.95,按时
SH00000177,O00000177,W02,京速,2025-11-17,4,6,2,26.8,延迟
SH00000178,O00000178,W03,城际专线,2026-05-30,3,4,1,25.24,延迟
SH00000179,O00000179,W01,迅联,2026-04-04,2,6,4,26.18,延迟
SH00000180,O00000180,W03,迅联,2026-04-11,2,4,2,32.73,延迟
SH00000181,O00000181,W04,云仓配,2026-02-03,2,3,1,37.02,延迟
SH00000182,O00000182,W03,云仓配,2026-03-08,2,3,1,33.08,延迟
SH00000183,O00000183,W01,云仓配,2025-12-08,4,7,3,24.59,延迟
SH00000184,O00000184,W01,京速,2025-10-28,3,5,2,38.65,延迟
SH00000185,O00000185,W04,顺达,2026-06-02,4,5,1,35.9,延迟
SH00000186,O00000186,W06,云仓配,2025-09-23,4,2,0,21.06,按时
SH00000187,O00000187,W01,城际专线,2025-10-30,4,3,0,23.98,按时
SH00000188,O00000188,W01,迅联,2026-06-08,2,1,0,41.24,按时
SH00000189,O00000189,W01,云仓配,2026-05-23,3,4,1,19.42,延迟
SH00000190,O00000190,W05,顺达,2026-06-14,4,3,0,23.92,按时
SH00000191,O00000191,W05,顺达,2025-11-07,2,2,0,31.79,按时
SH00000192,O00000192,W01,迅联,2025-09-09,4,4,0,28.05,按时
SH00000193,O00000193,W05,云仓配,2025-12-19,4,3,0,26.52,按时
SH00000194,O00000194,W04,京速,2026-05-05,2,4,2,14.34,延迟
SH00000195,O00000195,W03,京速,2025-11-11,4,3,0,27.97,按时
SH00000196,O00000196,W06,京速,2025-12-09,3,7,4,25.96,延迟
SH00000197,O00000197,W01,云仓配,2025-08-11,2,2,0,31.93,按时
SH00000198,O00000198,W02,城际专线,2025-12-11,2,5,3,27.35,延迟
SH00000199,O00000199,W06,迅联,2025-10-29,2,2,0,21.55,按时
SH00000200,O00000200,W04,京速,2026-03-09,3,2,0,36.17,按时
SH00000201,O00000201,W02,顺达,2026-07-01,3,1,0,16.16,按时
SH00000202,O00000202,W04,京速,2025-09-20,2,3,1,19.65,延迟
SH00000203,O00000203,W01,京速,2026-04-30,2,2,0,18.55,按时
SH00000204,O00000204,W03,京速,2025-12-28,4,3,0,20.09,按时
SH00000205,O00000205,W04,顺达,2025-08-15,4,4,0,32.04,按时
SH00000206,O00000206,W01,城际专线,2026-06-30,4,5,1,19.67,延迟
SH00000207,O00000207,W03,京速,2026-07-14,4,1,0,27.47,按时
SH00000208,O00000208,W02,迅联,2026-07-12,3,2,0,20.93,按时
SH00000209,O00000209,W04,迅联,2025-09-13,3,3,0,21.29,按时
SH00000210,O00000210,W01,城际专线,2026-07-03,3,2,0,27.4,按时
SH00000211,O00000211,W02,顺达,2025-10-08,2,2,0,30.98,按时
SH00000212,O00000212,W03,顺达,2026-05-19,4,3,0,21.38,按时
SH00000213,O00000213,W02,顺达,2026-06-23,2,4,2,25.6,延迟
SH00000214,O00000214,W02,京速,2025-12-29,2,2,0,15.31,按时
SH00000215,O00000215,W04,云仓配,2025-08-26,3,5,2,27.27,延迟
SH00000216,O00000216,W04,云仓配,2025-12-23,3,7,4,21.29,延迟
SH00000217,O00000217,W04,云仓配,2026-07-05,4,2,0,25.42,按时
SH00000218,O00000218,W01,迅联,2026-07-02,4,4,0,37.61,按时
SH00000219,O00000219,W05,京速,2025-11-22,3,3,0,30.75,按时
SH00000220,O00000220,W04,城际专线,2026-03-20,2,4,2,29.46,延迟
SH00000221,O00000221,W02,城际专线,2025-08-12,3,3,0,33.73,按时
SH00000222,O00000222,W02,城际专线,2025-12-05,4,2,0,35.02,按时
SH00000223,O00000223,W03,迅联,2026-07-16,2,3,1,17.8,延迟
SH00000224,O00000224,W03,城际专线,2026-04-17,3,4,1,32.02,延迟
SH00000225,O00000225,W02,京速,2026-04-22,3,4,1,34.01,延迟
SH00000226,O00000226,W01,云仓配,2025-11-08,2,1,0,26.6,按时
SH00000227,O00000227,W06,云仓配,2025-12-10,2,3,1,16.63,延迟
SH00000228,O00000228,W02,顺达,2026-04-10,3,2,0,19.27,按时
SH00000229,O00000229,W05,云仓配,2025-10-06,4,3,0,24.06,按时
SH00000230,O00000230,W02,城际专线,2025-09-23,4,2,0,31.19,按时
SH00000231,O00000231,W04,城际专线,2026-02-23,3,4,1,34.08,延迟
SH00000232,O00000232,W01,迅联,2026-03-01,4,7,3,24.74,延迟
SH00000233,O00000233,W06,城际专线,2025-10-06,2,2,0,29.34,按时
SH00000234,O00000234,W01,云仓配,2026-01-07,3,2,0,19.82,按时
SH00000235,O00000235,W02,顺达,2026-03-20,4,4,0,30.36,按时
SH00000236,O00000236,W02,云仓配,2026-04-21,4,4,0,33.55,按时
SH00000237,O00000237,W04,迅联,2026-06-16,2,6,4,41.27,延迟
SH00000238,O00000238,W06,顺达,2026-04-26,4,3,0,27.04,按时
SH00000239,O00000239,W03,云仓配,2026-04-25,2,3,1,33.39,延迟
SH00000240,O00000240,W02,云仓配,2026-06-21,3,3,0,25.12,按时
SH00000241,O00000241,W01,顺达,2026-07-16,2,2,0,16.62,按时
SH00000242,O00000242,W02,城际专线,2025-10-22,2,5,3,18.67,延迟
SH00000243,O00000243,W05,迅联,2026-07-21,4,7,3,28.83,延迟
SH00000244,O00000244,W02,京速,2025-10-12,3,1,0,18.79,按时
SH00000245,O00000245,W01,京速,2025-08-26,3,4,1,17.1,延迟
SH00000246,O00000246,W05,城际专线,2025-09-05,4,7,3,32.38,延迟
SH00000247,O00000247,W06,云仓配,2025-08-03,2,2,0,29.51,按时
SH00000248,O00000248,W01,城际专线,2026-05-18,3,3,0,26.71,按时
SH00000249,O00000249,W05,京速,2025-11-10,3,4,1,26.47,延迟
SH00000250,O00000250,W05,云仓配,2026-07-24,4,6,2,10.97,延迟
SH00000251,O00000251,W05,顺达,2025-11-20,4,6,2,21.63,延迟
SH00000252,O00000252,W05,云仓配,2025-09-13,3,6,3,16.98,延迟
SH00000253,O00000253,W03,迅联,2026-03-26,3,3,0,23.66,按时
SH00000254,O00000254,W03,云仓配,2026-06-16,4,4,0,14.75,按时
SH00000255,O00000255,W04,云仓配,2025-11-30,3,4,1,27.67,延迟
SH00000256,O00000256,W06,京速,2025-10-13,3,2,0,36.53,按时
SH00000257,O00000257,W01,城际专线,2026-01-07,4,2,0,18.52,按时
SH00000258,O00000258,W05,迅联,2025-09-13,2,4,2,17.68,延迟
SH00000259,O00000259,W01,顺达,2026-06-17,3,1,0,30.53,按时
SH00000260,O00000260,W01,云仓配,2025-11-21,2,1,0,21.74,按时
SH00000261,O00000261,W01,云仓配,2025-11-20,2,2,0,17.24,按时
SH00000262,O00000262,W04,顺达,2026-04-03,4,2,0,45.91,按时
SH00000263,O00000263,W03,云仓配,2026-01-25,4,5,1,17.32,延迟
SH00000264,O00000264,W03,京速,2025-12-11,4,6,2,17.08,延迟
SH00000265,O00000265,W05,顺达,2025-11-23,2,1,0,12.56,按时
SH00000266,O00000266,W05,城际专线,2025-12-03,2,3,1,35.43,延迟
SH00000267,O00000267,W06,京速,2025-08-05,3,5,2,26.99,延迟
SH00000268,O00000268,W05,顺达,2026-03-24,2,2,0,13.97,按时
SH00000269,O00000269,W02,京速,2025-12-15,3,4,1,21.79,延迟
SH00000270,O00000270,W04,城际专线,2026-03-27,2,2,0,38.81,按时
SH00000271,O00000271,W06,城际专线,2026-02-19,4,4,0,34.03,按时
SH00000272,O00000272,W05,京速,2026-03-06,2,5,3,33.01,延迟
SH00000273,O00000273,W02,顺达,2025-10-28,4,2,0,23.24,按时
SH00000274,O00000274,W03,城际专线,2025-11-08,2,2,0,28.93,按时
SH00000275,O00000275,W05,迅联,2026-04-23,2,5,3,25.75,延迟
SH00000276,O00000276,W02,迅联,2025-11-11,2,3,1,18.65,延迟
SH00000277,O00000277,W03,京速,2025-09-19,4,1,0,21.7,按时
SH00000278,O00000278,W05,城际专线,2025-10-17,4,4,0,25.71,按时
SH00000279,O00000279,W03,云仓配,2025-09-30,2,7,5,12.35,延迟
SH00000280,O00000280,W03,云仓配,2025-12-30,3,3,0,14.31,按时
SH00000281,O00000281,W05,京速,2026-05-14,4,1,0,29.41,按时
SH00000282,O00000282,W03,顺达,2026-04-07,4,2,0,31.81,按时
SH00000283,O00000283,W04,云仓配,2025-12-09,2,3,1,12.35,延迟
SH00000284,O00000284,W05,顺达,2026-03-07,2,3,1,24.85,延迟
SH00000285,O00000285,W04,迅联,2026-07-17,2,3,1,37.93,延迟
SH00000286,O00000286,W04,城际专线,2025-12-28,2,4,2,11.49,延迟
SH00000287,O00000287,W01,云仓配,2025-12-13,3,4,1,31.77,延迟
SH00000288,O00000288,W05,城际专线,2026-01-05,2,3,1,24.63,延迟
SH00000289,O00000289,W06,城际专线,2025-12-23,3,4,1,29.0,延迟
SH00000290,O00000290,W03,顺达,2025-09-23,3,3,0,16.21,按时
SH00000291,O00000291,W06,京速,2025-09-11,4,4,0,22.06,按时
SH00000292,O00000292,W06,迅联,2026-05-30,2,3,1,29.56,延迟
SH00000293,O00000293,W01,京速,2025-08-05,2,5,3,31.5,延迟
SH00000294,O00000294,W06,顺达,2026-04-01,3,3,0,22.74,按时
SH00000295,O00000295,W06,云仓配,2026-01-18,2,2,0,30.82,按时
SH00000296,O00000296,W05,城际专线,2025-08-06,2,3,1,26.61,延迟
SH00000297,O00000297,W04,迅联,2026-02-14,2,2,0,14.66,按时
SH00000298,O00000298,W02,顺达,2025-10-26,2,3,1,13.02,延迟
SH00000299,O00000299,W03,京速,2026-07-04,2,7,5,20.53,延迟
SH00000300,O00000300,W06,城际专线,2026-03-30,2,2,0,24.97,按时
SH00000301,O00000301,W01,云仓配,2025-10-13,3,2,0,24.75,按时
SH00000302,O00000302,W05,云仓配,2025-11-02,2,2,0,33.44,按时
SH00000303,O00000303,W02,京速,2026-01-09,2,2,0,34.34,按时
SH00000304,O00000304,W02,城际专线,2025-12-23,2,4,2,15.31,延迟
SH00000305,O00000305,W05,京速,2025-12-15,4,4,0,12.84,按时
SH00000306,O00000306,W01,京速,2025-09-15,2,2,0,27.16,按时
SH00000307,O00000307,W03,京速,2025-12-12,3,2,0,16.13,按时
SH00000308,O00000308,W02,迅联,2026-07-24,2,3,1,31.35,延迟
SH00000309,O00000309,W02,京速,2026-02-21,3,2,0,21.89,按时
SH00000310,O00000310,W02,迅联,2026-06-11,4,5,1,33.88,延迟
SH00000311,O00000311,W03,顺达,2025-09-13,4,2,0,16.85,按时
SH00000312,O00000312,W04,顺达,2025-12-07,3,3,0,27.02,按时
SH00000313,O00000313,W01,云仓配,2026-01-04,4,2,0,14.86,按时
SH00000314,O00000314,W03,云仓配,2026-05-17,3,7,4,16.78,延迟
SH00000315,O00000315,W01,迅联,2025-11-12,3,2,0,27.27,按时
SH00000316,O00000316,W02,京速,2025-11-02,2,5,3,20.55,延迟
SH00000317,O00000317,W01,城际专线,2026-07-16,3,2,0,14.23,按时
SH00000318,O00000318,W01,城际专线,2026-02-05,4,3,0,27.51,按时
SH00000319,O00000319,W04,迅联,2025-09-14,4,2,0,20.8,按时
SH00000320,O00000320,W05,云仓配,2026-05-29,3,4,1,37.46,延迟
SH00000321,O00000321,W01,迅联,2025-10-22,2,3,1,26.68,延迟
SH00000322,O00000322,W06,城际专线,2026-03-31,2,2,0,26.57,按时
SH00000323,O00000323,W02,迅联,2025-08-29,2,2,0,33.05,按时
SH00000324,O00000324,W02,京速,2025-12-08,2,6,4,31.76,延迟
SH00000325,O00000325,W02,云仓配,2026-04-29,2,2,0,11.43,按时
SH00000326,O00000326,W04,迅联,2026-03-14,3,3,0,25.25,按时
SH00000327,O00000327,W01,城际专线,2026-05-19,4,1,0,38.89,按时
SH00000328,O00000328,W03,迅联,2026-04-05,2,4,2,26.95,延迟
SH00000329,O00000329,W01,城际专线,2026-04-06,3,4,1,30.48,延迟
SH00000330,O00000330,W04,云仓配,2026-03-01,3,4,1,14.68,延迟
SH00000331,O00000331,W03,城际专线,2025-08-18,2,5,3,12.74,延迟
SH00000332,O00000332,W02,顺达,2025-12-12,3,3,0,16.35,按时
SH00000333,O00000333,W04,云仓配,2026-01-28,4,3,0,32.86,按时
SH00000334,O00000334,W01,京速,2026-07-30,3,5,2,11.68,延迟
SH00000335,O00000335,W04,顺达,2026-03-14,3,4,1,21.29,延迟
SH00000336,O00000336,W06,京速,2025-12-19,4,3,0,11.29,按时
SH00000337,O00000337,W02,云仓配,2025-12-02,2,3,1,33.79,延迟
SH00000338,O00000338,W06,顺达,2025-08-08,4,3,0,20.09,按时
SH00000339,O00000339,W01,城际专线,2026-03-25,4,2,0,25.2,按时
SH00000340,O00000340,W03,顺达,2026-02-14,3,5,2,21.34,延迟
SH00000341,O00000341,W01,顺达,2026-07-18,4,3,0,37.05,按时
SH00000342,O00000342,W01,顺达,2026-01-13,3,4,1,26.69,延迟
SH00000343,O00000343,W05,京速,2025-08-03,4,3,0,22.85,按时
SH00000344,O00000344,W02,顺达,2026-05-31,4,2,0,22.16,按时
SH00000345,O00000345,W01,顺达,2025-12-05,4,7,3,21.93,延迟
SH00000346,O00000346,W01,迅联,2025-12-30,4,4,0,17.63,按时
SH00000347,O00000347,W03,京速,2025-08-23,4,7,3,21.56,延迟
SH00000348,O00000348,W04,顺达,2026-03-25,3,1,0,33.71,按时
SH00000349,O00000349,W05,顺达,2026-06-28,4,3,0,15.58,按时
SH00000350,O00000350,W06,京速,2025-09-07,4,2,0,11.98,按时
SH00000351,O00000351,W06,迅联,2025-08-06,4,7,3,12.15,延迟
SH00000352,O00000352,W03,顺达,2026-03-17,3,3,0,31.91,按时
SH00000353,O00000353,W01,云仓配,2026-02-03,3,6,3,28.49,延迟
SH00000354,O00000354,W05,京速,2026-03-01,2,3,1,20.73,延迟
SH00000355,O00000355,W06,城际专线,2026-02-08,3,3,0,26.95,按时
SH00000356,O00000356,W03,云仓配,2025-12-29,2,2,0,19.61,按时
SH00000357,O00000357,W05,云仓配,2025-10-02,3,3,0,16.86,按时
SH00000358,O00000358,W01,云仓配,2025-09-13,2,2,0,39.81,按时
SH00000359,O00000359,W03,迅联,2026-01-27,2,2,0,26.07,按时
