order_id,order_date,month,customer_id,product_id,region,channel,quantity,revenue,cost,gross_margin,discount_rate
O00088,2026-03-17,2026-03,C0036,P005,东北,经销商,5,2983.0,1676.25,1306.75,0.05
O00089,2026-02-20,2026-02,C0032,P008,华东,门店,2,1164,582.69,581.31,0
O00090,2026-03-25,2026-03,C0051,P002,东北,线上,3,1574.1,1090.82,483.28,0.1
O00091,2026-06-17,2026-06,C0005,P008,华东,门店,1,81.88,65.98,15.9,0.08
O00092,2026-04-25,2026-04,C0006,P006,华东,门店,3,1668,778.34,889.66,0
O00093,2026-01-20,2026-01,C0066,P006,华东,线上,2,1798.2,1070.49,727.71,0.1
O00094,2026-01-28,2026-01,C0028,P006,东北,门店,1,793.25,414.7,378.55,0.05
O00095,2026-03-07,2026-03,C0077,P001,东北,直播,2,3496,2517.87,978.13,0
O00096,2026-06-23,2026-06,C0024,P006,华东,直播,5,3595,1859.06,1735.94,0
O00097,2026-05-21,2026-05,C0009,P008,东北,门店,4,1056.16,768.16,288.0,0.08
O00098,2026-06-13,2026-06,C0084,P002,华南,经销商,2,1519.8,964.6,555.2,0.15
O00099,2026-06-20,2026-06,C0054,P005,西南,经销商,1,611.15,457.97,153.18,0.15
O00100,2026-04-17,2026-04,C0003,P007,华东,直播,3,4197,2429.82,1767.18,0
O00101,2026-02-22,2026-02,C0056,P001,西南,直播,2,1894,1365.05,528.95,0
O00102,2026-05-28,2026-05,C0059,P006,华东,门店,2,692,323.21,368.79,0
O00103,2026-06-14,2026-06,C0012,P007,华南,门店,5,6431.5,4693.59,1737.91,0.05
O00104,2026-02-07,2026-02,C0037,P006,华东,线上,2,2294,1732.92,561.08,0
O00105,2026-04-09,2026-04,C0097,P008,华东,线上,2,1394,1012.47,381.53,0
O00106,2026-05-04,2026-05,C0007,P006,东北,门店,5,6361.8,3308.67,3053.13,0.08
O00107,2026-06-13,2026-06,C0080,P004,东北,门店,4,5352,3872.88,1479.12,0
O00108,2026-05-25,2026-05,C0006,P004,华东,线上,4,4560,2629.21,1930.79,0
O00109,2026-02-08,2026-02,C0093,P004,东北,线上,2,295.2,238.79,56.41,0.1
O00110,2026-06-20,2026-06,C0016,P006,华东,经销商,4,4809.76,3301.57,1508.19,0.08
O00111,2026-06-16,2026-06,C0040,P007,华南,经销商,5,2714.0,1706.4,1007.6,0.08
O00112,2026-04-25,2026-04,C0023,P008,西南,直播,1,78.3,67.46,10.84,0.1
O00113,2026-03-02,2026-03,C0098,P008,华南,直播,5,7714.2,6088.01,1626.19,0.08
O00114,2026-04-13,2026-04,C0009,P002,东北,直播,2,1497.76,928.87,568.89,0.08
O00115,2026-05-10,2026-05,C0006,P001,华东,线上,2,421.6,274.55,147.05,0.15
O00116,2026-01-14,2026-01,C0084,P007,华南,线上,2,264,205.58,58.42,0
O00117,2026-02-19,2026-02,C0114,P003,华东,门店,4,2676,1810.11,865.89,0
O00118,2026-01-17,2026-01,C0079,P006,西南,经销商,3,1154.25,906.22,248.03,0.05
O00119,2026-04-27,2026-04,C0033,P003,华北,门店,5,5315,3429.89,1885.11,0
O00120,2026-03-23,2026-03,C0005,P006,华东,经销商,2,831.68,454.9,376.78,0.08
O00121,2026-06-23,2026-06,C0115,P006,华东,线上,4,1615.0,829.56,785.44,0.05
O00122,2026-06-12,2026-06,C0112,P006,东北,线上,4,4381.2,3122.41,1258.79,0.1
O00123,2026-03-06,2026-03,C0095,P007,华北,门店,3,1716.72,1449.63,267.09,0.08
O00124,2026-04-03,2026-04,C0098,P006,华南,线上,1,985,500.7,484.3,0
O00125,2026-03-17,2026-03,C0040,P005,华南,线上,5,6835.25,4978.24,1857.01,0.05
O00126,2026-02-26,2026-02,C0038,P003,华南,经销商,5,6260.6,4000.23,2260.37,0.08
O00127,2026-01-13,2026-01,C0063,P003,华北,线上,2,2267.8,1240.73,1027.07,0.15
O00128,2026-01-01,2026-01,C0039,P006,西南,直播,1,1093.45,720.82,372.63,0.05
O00129,2026-05-30,2026-05,C0076,P005,西南,直播,2,946.2,653.27,292.93,0.05
O00130,2026-02-10,2026-02,C0002,P003,华东,线上,2,3056,1829.88,1226.12,0
O00131,2026-06-13,2026-06,C0112,P003,东北,线上,3,2573.55,2083.64,489.91,0.05
O00132,2026-06-15,2026-06,C0077,P006,东北,直播,5,4446.0,3750.75,695.25,0.1
O00133,2026-03-05,2026-03,C0116,P003,华北,直播,1,170,106.32,63.68,0
O00134,2026-02-17,2026-02,C0021,P004,华南,门店,1,1675,760.58,914.42,0
O00135,2026-02-06,2026-02,C0026,P007,华南,直播,5,5631.25,4089.57,1541.68,0.15
O00136,2026-06-06,2026-06,C0066,P003,华东,直播,3,598.5,413.64,184.86,0.05
O00137,2026-05-18,2026-05,C0049,P001,西南,直播,4,5910.08,3061.41,2848.67,0.08
O00138,2026-02-14,2026-02,C0014,P004,华北,经销商,3,1415.25,770.58,644.67,0.15
O00139,2026-06-27,2026-06,C0092,P005,华南,直播,1,530.4,394.84,135.56,0.15
O00140,2026-06-25,2026-06,C0038,P005,华南,经销商,2,457.2,231.15,226.05,0.1
O00141,2026-03-02,2026-03,C0021,P004,华南,门店,3,1305.48,792.4,513.08,0.08
O00142,2026-04-08,2026-04,C0061,P008,东北,直播,5,7540,5526.69,2013.31,0
O00143,2026-03-01,2026-03,C0102,P005,东北,门店,2,1585.8,1133.25,452.55,0.1
O00144,2026-02-07,2026-02,C0004,P001,华东,经销商,1,268.2,225.45,42.75,0.1
O00145,2026-02-06,2026-02,C0004,P001,华东,线上,1,308.55,240.44,68.11,0.15
O00146,2026-06-28,2026-06,C0095,P002,华北,门店,1,192.6,150.1,42.5,0.1
O00147,2026-05-17,2026-05,C0113,P002,华南,线上,4,1196,619.39,576.61,0
O00148,2026-01-09,2026-01,C0109,P001,东北,直播,1,1503.65,1165.14,338.51,0.15
O00149,2026-01-26,2026-01,C0013,P003,华南,经销商,2,1297.7,766.39,531.31,0.05
O00150,2026-01-06,2026-01,C0033,P006,华北,经销商,3,456.45,376.3,80.15,0.15
O00151,2026-06-04,2026-06,C0109,P008,东北,直播,3,3432.3,1858.38,1573.92,0.15
O00152,2026-01-08,2026-01,C0067,P007,华北,门店,1,726.8,539.2,187.6,0.08
O00153,2026-01-24,2026-01,C0022,P005,华北,线上,4,295.2,169.47,125.73,0.1
O00154,2026-01-02,2026-01,C0063,P006,华北,门店,1,923.1,774.25,148.85,0.15
O00155,2026-05-07,2026-05,C0107,P006,华南,经销商,5,2758.5,2333.93,424.57,0.1
O00156,2026-02-24,2026-02,C0064,P004,华东,直播,2,518.5,428.86,89.64,0.15
O00157,2026-06-28,2026-06,C0081,P002,华北,直播,3,2424,1411.78,1012.22,0
O00158,2026-01-23,2026-01,C0114,P007,华东,直播,1,841,462.58,378.42,0
O00159,2026-05-20,2026-05,C0049,P003,西南,线上,2,2046,1279.59,766.41,0
O00160,2026-03-31,2026-03,C0067,P006,华北,经销商,2,1703.4,1268.0,435.4,0.15
O00161,2026-02-13,2026-02,C0057,P008,华北,直播,3,3798,1867.09,1930.91,0
O00162,2026-06-14,2026-06,C0065,P004,西南,门店,2,1191.3,876.62,314.68,0.05
O00163,2026-02-09,2026-02,C0093,P004,东北,门店,3,3547.8,2227.42,1320.38,0.1
O00164,2026-03-25,2026-03,C0034,P004,西南,直播,1,354.45,201.64,152.81,0.15
O00165,2026-02-08,2026-02,C0102,P003,东北,门店,3,4505.85,2815.09,1690.76,0.05
O00166,2026-01-28,2026-01,C0036,P002,东北,直播,2,1610.0,807.1,802.9,0.08
O00167,2026-04-22,2026-04,C0065,P004,西南,直播,3,3084,1532.13,1551.87,0
O00168,2026-01-02,2026-01,C0117,P004,华北,直播,4,5454.0,3901.74,1552.26,0.1
O00169,2026-02-28,2026-02,C0087,P004,华东,经销商,2,2786,1671.01,1114.99,0
O00170,2026-03-08,2026-03,C0115,P002,华东,门店,4,2119.68,1579.02,540.66,0.08
O00171,2026-03-06,2026-03,C0062,P007,华北,门店,4,432.0,351.99,80.01,0.1
O00172,2026-06-17,2026-06,C0100,P006,华南,线上,1,805.92,656.74,149.18,0.08
O00173,2026-01-10,2026-01,C0070,P005,东北,门店,2,695.3,579.14,116.16,0.15
O00174,2026-05-13,2026-05,C0013,P006,华南,直播,5,4567.5,2627.04,1940.46,0.1
O00175,2026-05-12,2026-05,C0082,P001,华南,直播,3,3271.8,2016.17,1255.63,0.05
O00176,2026-02-23,2026-02,C0051,P003,东北,经销商,5,8210,5669.87,2540.13,0
O00177,2026-06-13,2026-06,C0033,P001,华北,线上,3,2379.12,1216.19,1162.93,0.08
O00178,2026-04-18,2026-04,C0081,P007,华北,经销商,3,3613.8,1848.95,1764.85,0.05
O00179,2026-04-13,2026-04,C0103,P004,华东,线上,4,4104,2069.63,2034.37,0
O00180,2026-06-12,2026-06,C0061,P004,东北,门店,5,7780,5592.5,2187.5,0
O00181,2026-04-01,2026-04,C0060,P007,华东,直播,3,4417.2,3260.73,1156.47,0.1
O00182,2026-04-01,2026-04,C0035,P004,西南,门店,4,5650.6,4605.86,1044.74,0.05
O00183,2026-05-04,2026-05,C0104,P001,东北,经销商,3,2439,1624.26,814.74,0
O00184,2026-05-03,2026-05,C0055,P008,华南,经销商,5,6925,4622.83,2302.17,0
O00185,2026-02-09,2026-02,C0110,P005,华东,经销商,4,784,566.99,217.01,0
O00186,2026-02-05,2026-02,C0082,P006,华南,线上,5,467.5,249.58,217.92,0.15
O00187,2026-06-17,2026-06,C0033,P005,华北,门店,5,1291.5,713.34,578.16,0.1
O00188,2026-02-17,2026-02,C0045,P008,华东,门店,2,932.88,721.21,211.67,0.08
O00189,2026-06-06,2026-06,C0086,P002,华北,门店,5,7195.25,6152.4,1042.85,0.15
O00190,2026-05-07,2026-05,C0068,P004,华南,线上,1,1471.08,1073.74,397.34,0.08
O00191,2026-05-23,2026-05,C0034,P002,西南,线上,4,2236,1355.4,880.6,0
O00192,2026-05-04,2026-05,C0116,P008,华北,门店,2,2785.76,1608.98,1176.78,0.08
O00193,2026-05-19,2026-05,C0021,P001,华南,经销商,3,2646.9,1979.41,667.49,0.15
O00194,2026-04-30,2026-04,C0055,P006,华南,经销商,4,5856,2984.05,2871.95,0
O00195,2026-06-12,2026-06,C0003,P001,华东,经销商,5,735.25,599.5,135.75,0.15
O00196,2026-01-25,2026-01,C0063,P008,华北,门店,2,298,204.73,93.27,0
O00197,2026-03-28,2026-03,C0111,P002,东北,门店,3,2150.04,1652.06,497.98,0.08
O00198,2026-03-14,2026-03,C0044,P007,西南,经销商,4,2142.0,1112.41,1029.59,0.1
O00199,2026-03-16,2026-03,C0106,P006,东北,经销商,4,3442.8,2233.24,1209.56,0.05
O00200,2026-05-10,2026-05,C0027,P006,华东,经销商,4,6804,3804.77,2999.23,0
O00201,2026-03-18,2026-03,C0076,P003,西南,直播,1,1686,980.63,705.37,0
O00202,2026-05-20,2026-05,C0052,P001,东北,直播,3,906,421.57,484.43,0
O00203,2026-06-05,2026-06,C0101,P001,华南,门店,5,5368.5,3424.47,1944.03,0.1
O00204,2026-06-10,2026-06,C0028,P002,东北,门店,1,1229.1,869.19,359.91,0.15
O00205,2026-01-26,2026-01,C0112,P003,东北,线上,1,943,708.8,234.2,0
O00206,2026-04-05,2026-04,C0101,P003,华南,经销商,3,3139.05,1976.28,1162.77,0.15
O00207,2026-02-17,2026-02,C0005,P007,华东,线上,3,333.96,231.19,102.77,0.08
O00208,2026-05-08,2026-05,C0106,P001,东北,直播,1,1530.88,1064.72,466.16,0.08
O00209,2026-04-25,2026-04,C0002,P002,华东,门店,4,4665.6,4031.76,633.84,0.1
O00210,2026-05-02,2026-05,C0071,P007,华北,门店,1,211.65,150.85,60.8,0.15
O00211,2026-06-10,2026-06,C0055,P001,华南,线上,1,84.15,66.42,17.73,0.15
O00212,2026-02-25,2026-02,C0017,P002,华东,门店,4,440.8,318.95,121.85,0.05
O00213,2026-04-26,2026-04,C0119,P003,华南,门店,1,704.65,568.26,136.39,0.15
O00214,2026-01-22,2026-01,C0081,P005,华北,经销商,5,7047.2,4611.25,2435.95,0.08
O00215,2026-01-14,2026-01,C0002,P001,华东,线上,1,93.5,74.43,19.07,0.15
O00216,2026-04-10,2026-04,C0040,P005,华南,经销商,5,1927.4,1363.75,563.65,0.08
O00217,2026-04-05,2026-04,C0061,P008,东北,门店,2,752,428.55,323.45,0
O00218,2026-06-11,2026-06,C0062,P007,华北,经销商,4,6156.64,5098.13,1058.51,0.08
O00219,2026-03-16,2026-03,C0008,P005,东北,经销商,5,6005.25,5048.92,956.33,0.15
O00220,2026-06-05,2026-06,C0107,P001,华南,门店,2,2490.9,1685.79,805.11,0.05
O00221,2026-04-07,2026-04,C0088,P007,华南,经销商,4,5248,3760.03,1487.97,0
O00222,2026-06-26,2026-06,C0042,P001,西南,线上,3,1733.28,945.58,787.7,0.08
O00223,2026-03-15,2026-03,C0104,P003,东北,直播,5,1809.75,1470.42,339.33,0.05
O00224,2026-03-30,2026-03,C0070,P002,东北,门店,5,4931.2,2766.52,2164.68,0.08
O00225,2026-03-21,2026-03,C0087,P001,华东,经销商,4,3508.8,2139.02,1369.78,0.15
O00226,2026-05-31,2026-05,C0102,P001,东北,经销商,4,3675.6,1956.0,1719.6,0.1
O00227,2026-01-17,2026-01,C0051,P004,东北,经销商,5,5448.25,4255.83,1192.42,0.05
O00228,2026-05-03,2026-05,C0025,P004,西南,经销商,2,946,482.11,463.89,0
O00229,2026-04-03,2026-04,C0052,P006,东北,直播,5,1925,894.58,1030.42,0
O00230,2026-04-06,2026-04,C0048,P002,华北,线上,4,6768,3394.36,3373.64,0
O00231,2026-03-30,2026-03,C0067,P005,华北,直播,5,610,281.26,328.74,0
O00232,2026-05-31,2026-05,C0034,P004,西南,门店,3,2856,2177.26,678.74,0
O00233,2026-03-07,2026-03,C0044,P001,西南,线上,2,828.0,429.85,398.15,0.08
O00234,2026-01-09,2026-01,C0112,P006,东北,直播,4,4308,3165.43,1142.57,0
O00235,2026-01-31,2026-01,C0033,P002,华北,直播,3,3708,2452.5,1255.5,0
O00236,2026-02-16,2026-02,C0109,P008,东北,门店,2,1678,1304.25,373.75,0
O00237,2026-02-14,2026-02,C0033,P001,华北,线上,3,542.7,451.35,91.35,0.1
O00238,2026-03-08,2026-03,C0008,P008,东北,门店,1,357.2,262.87,94.33,0.05
O00239,2026-06-23,2026-06,C0076,P005,西南,经销商,5,4177.75,2382.74,1795.01,0.15
O00240,2026-04-06,2026-04,C0050,P005,东北,直播,1,779.24,487.26,291.98,0.08
O00241,2026-03-03,2026-03,C0118,P003,东北,线上,1,882.3,779.7,102.6,0.15
O00242,2026-02-10,2026-02,C0010,P004,东北,直播,5,3587.0,2093.63,1493.37,0.15
O00243,2026-01-25,2026-01,C0108,P007,华南,经销商,1,1366,818.6,547.4,0
O00244,2026-03-24,2026-03,C0062,P004,华北,门店,1,1297.7,679.06,618.64,0.05
O00245,2026-01-15,2026-01,C0092,P003,华南,门店,4,4852,2886.26,1965.74,0
O00246,2026-03-10,2026-03,C0053,P007,西南,经销商,2,796,429.41,366.59,0
O00247,2026-03-27,2026-03,C0034,P003,西南,直播,4,1151.4,727.86,423.54,0.05
O00248,2026-01-30,2026-01,C0066,P003,华东,直播,1,1166.2,1036.31,129.89,0.15
O00249,2026-03-15,2026-03,C0033,P002,华北,门店,2,1519.84,1283.66,236.18,0.08
O00250,2026-03-02,2026-03,C0050,P002,东北,经销商,3,2793,1309.83,1483.17,0
O00251,2026-02-06,2026-02,C0057,P001,华北,线上,5,3501.0,1930.4,1570.6,0.1
O00252,2026-05-15,2026-05,C0024,P005,华东,门店,3,2913,2187.53,725.47,0
O00253,2026-03-12,2026-03,C0018,P003,东北,门店,2,2296,1572.38,723.62,0
O00254,2026-06-03,2026-06,C0107,P002,华南,经销商,1,1127.1,813.51,313.59,0.15
O00255,2026-02-14,2026-02,C0018,P004,东北,门店,5,6166.75,4769.34,1397.41,0.15
O00256,2026-05-30,2026-05,C0026,P005,华南,直播,1,181.9,148.04,33.86,0.15
O00257,2026-01-15,2026-01,C0043,P006,西南,直播,3,3833.64,1999.36,1834.28,0.08
O00258,2026-05-03,2026-05,C0112,P003,东北,经销商,3,1764,1121.61,642.39,0
O00259,2026-01-10,2026-01,C0090,P003,西南,经销商,3,3393.9,2764.76,629.14,0.1
O00260,2026-05-14,2026-05,C0067,P008,华北,经销商,1,310.65,224.26,86.39,0.05
O00261,2026-04-08,2026-04,C0038,P001,华南,线上,1,1449.92,941.38,508.54,0.08
O00262,2026-05-16,2026-05,C0003,P003,华东,门店,2,522,341.54,180.46,0
O00263,2026-01-27,2026-01,C0033,P005,华北,门店,5,8765,4000.51,4764.49,0
O00264,2026-03-08,2026-03,C0108,P001,华南,门店,5,6228.0,4173.45,2054.55,0.1
O00265,2026-06-29,2026-06,C0014,P008,华北,经销商,3,693.6,415.39,278.21,0.15
O00266,2026-02-01,2026-02,C0064,P008,华东,线上,5,5248.75,2686.88,2561.87,0.05
O00267,2026-04-14,2026-04,C0070,P003,东北,直播,5,2725,1358.64,1366.36,0
O00268,2026-04-12,2026-04,C0106,P003,东北,线上,1,1269.6,936.99,332.61,0.08
O00269,2026-04-12,2026-04,C0100,P001,华南,经销商,3,2133.48,1227.5,905.98,0.08
O00270,2026-04-22,2026-04,C0105,P006,华南,门店,4,4916,2739.25,2176.75,0
O00271,2026-06-24,2026-06,C0032,P006,华东,线上,4,4889.2,2610.33,2278.87,0.15
O00272,2026-05-16,2026-05,C0009,P003,东北,线上,3,2898,1786.84,1111.16,0
O00273,2026-02-27,2026-02,C0054,P003,西南,线上,4,6145.6,4401.85,1743.75,0.08
O00274,2026-01-09,2026-01,C0118,P005,东北,线上,5,2715.75,2009.48,706.27,0.15
O00275,2026-06-09,2026-06,C0033,P002,华北,线上,1,1145,679.12,465.88,0
O00276,2026-03-15,2026-03,C0040,P002,华南,经销商,3,4218,2065.66,2152.34,0
O00277,2026-01-22,2026-01,C0076,P008,西南,门店,5,1761.8,940.06,821.74,0.08
O00278,2026-03-17,2026-03,C0074,P007,东北,经销商,3,1923,1332.36,590.64,0
O00279,2026-04-27,2026-04,C0084,P004,华南,直播,4,1771.2,1346.94,424.26,0.1
O00280,2026-05-21,2026-05,C0079,P005,西南,经销商,4,3952.0,1914.51,2037.49,0.05
O00281,2026-02-26,2026-02,C0066,P004,华东,经销商,5,3888.0,2509.19,1378.81,0.1
O00282,2026-02-11,2026-02,C0042,P004,西南,门店,5,3431.6,2010.75,1420.85,0.08
O00283,2026-03-17,2026-03,C0099,P001,华南,经销商,1,363.6,190.71,172.89,0.1
O00284,2026-04-23,2026-04,C0067,P001,华北,线上,4,6579.84,4054.16,2525.68,0.08
O00285,2026-05-14,2026-05,C0087,P004,华东,门店,2,1772.7,1251.19,521.51,0.05
O00286,2026-06-22,2026-06,C0079,P004,西南,直播,5,2907.0,1554.82,1352.18,0.1
O00287,2026-03-10,2026-03,C0053,P003,西南,线上,1,80.96,61.84,19.12,0.08
O00288,2026-05-08,2026-05,C0074,P007,东北,线上,2,1776.5,1380.08,396.42,0.05
O00289,2026-04-08,2026-04,C0089,P008,西南,经销商,4,2274.6,1515.59,759.01,0.15
O00290,2026-04-11,2026-04,C0083,P007,西南,直播,3,237.15,203.77,33.38,0.15
O00291,2026-04-08,2026-04,C0039,P008,西南,直播,2,2240.1,1685.91,554.19,0.05
O00292,2026-05-28,2026-05,C0075,P007,华南,门店,2,494.0,289.58,204.42,0.05
